model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
LocalStandardReflectiveEquilibrium,"[[2, 4], [8, 6, 4], [3, -1, 2], [5, 9, 8], [7, -8], [1, -4], [-7, 2, 8], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.26833749991987155,96,2.25,0.2,set(),[],"{1, 4, 5, 6, 7, -3}",6,0,0,0,False,,"{1, -3}",2,0,0,False,True,16,[{1}],1.0,{-3},{-3},"[{4, -2}, {-8, -7, 4}, {8, -2, 6}, {-1, -2}, {-8, -7, -1}, {9, 5, -2, 6}, {-3}, {-4, -1}]","[0, 0.29444444444444445, 0.3407407407407407, 0.9296296296296296, 0.9561728395061729, 0.9561728395061729, 0.971604938271605, 0.971604938271605, 0.975925925925926, 0.975925925925926, 0.975925925925926, 0.975925925925926]",True,4,4,0,0,4,5,"[2, 3, 4, 6, 8]","[{1, 4, 5, 6, 7, -3}, {1, 4, 5, 7, -3}, {1, -3, 5, 7}, {1, -3, 5}, {1, -3}, {1, -3}]","[set(), {-3}, {-3}, {-3}, {-3}, {-3}]",12,
LocalStandardReflectiveEquilibrium,"[[2, 4], [8, 6, 4], [3, -1, 2], [5, 9, 8], [7, -8], [1, -4], [-7, 2, 8], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.26833749991987155,96,2.25,0.2,set(),[],"{3, 5, 8, -9, -7, -1}",6,0,0,2,True,False,"{8, -7, 5}",3,0,0,True,True,18,[{5}],1.0,{8},"{8, -7}","[{-7, 3, 4}, {8}, {-7, 3, -1}, {9, 5}, {-7, 2}]","[0, 0.29444444444444445, 0.3407407407407407, 0.9598765432098766, 0.9777777777777779, 0.9777777777777779, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679]",True,3,3,0,0,3,6,"[2, 4, 6]","[{3, 5, 8, -9, -7, -1}, {3, 5, 8, -7, -1}, {8, -7, 3, 5}, {8, -7, 5}, {8, -7, 5}]","[set(), {8}, {8}, {8}, {8}]",10,
LocalStandardReflectiveEquilibrium,"[[1, -9, 3], [5, -1], [-4, -3], [-2, -1], [7, 6, 5], [-9, 4, -5], [-3, -5, 7], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.23256771159905348,120,2.25,0.2,set(),[],"{1, 4, 5, 6, 7, -3}",6,0,0,0,False,,"{3, 4, 6}",3,0,0,True,True,20,[{6}],1.0,{3},"{3, 4}","[{-7, 4, -9}, {1, -7}, {4, 6, -9}, {-7, -5}, {1, 6}, {-5, 6}, {3}, {1, -9}]","[0, 0.29444444444444445, 0.3407407407407407, 0.9296296296296296, 0.9561728395061729, 0.9561728395061729, 0.971604938271605, 0.971604938271605, 0.975925925925926, 0.975925925925926, 0.975925925925926, 0.975925925925926]",True,5,4,1,0,3,5,"[2, 3, 4, 6, 8]","[{1, 4, 5, 6, 7, -3}, {1, 4, 5, 6, -3}, {1, 3, 4, 5, 6}, {3, 4, 5, 6}, {3, 4, 6}, {3, 4, 6}]","[set(), {3}, {3}, {3}, {3}, {3}]",12,
LocalStandardReflectiveEquilibrium,"[[1, -9, 3], [5, -1], [-4, -3], [-2, -1], [7, 6, 5], [-9, 4, -5], [-3, -5, 7], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.23256771159905348,120,2.25,0.2,set(),[],"{3, 5, 8, -9, -7, -1}",6,0,0,0,False,,"{3, 5, -1}",3,0,0,False,True,16,[{3}],1.0,{5},"{5, -1}","[{-3, 6}, {-7, -4}, {-4, 6}, {5}, {6, 7}, {-7, -3}]","[0, 0.29444444444444445, 0.3407407407407407, 0.9598765432098766, 0.9777777777777779, 0.9777777777777779, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679]",True,3,3,0,0,3,6,"[2, 4, 6]","[{3, 5, 8, -9, -7, -1}, {3, 5, 8, -9, -1}, {8, 3, 5, -1}, {3, 5, -1}, {3, 5, -1}]","[set(), {5}, {5}, {5}, {5}]",10,
LocalStandardReflectiveEquilibrium,"[[-8, -5, -6], [2, -8], [-7, -8], [4, -9, -5], [1, -9], [4, 5, 6], [6, -2, -5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.2352618834042398,118,2.25,0.2,set(),[],"{1, 4, 5, 6, 7, -3}",6,0,0,0,False,,"{5, 6}",2,0,0,False,True,16,[{5}],1.0,{6},{6},"[{6}, {4, 5}]","[0, 0.29444444444444445, 0.3407407407407407, 0.9296296296296296, 0.9561728395061729, 0.9561728395061729, 0.971604938271605, 0.971604938271605, 0.975925925925926, 0.975925925925926, 0.975925925925926, 0.975925925925926]",True,4,4,0,0,4,5,"[2, 3, 4, 6, 8]","[{1, 4, 5, 6, 7, -3}, {1, 4, 5, 6, -3}, {1, 4, 5, 6}, {1, 5, 6}, {5, 6}, {5, 6}]","[set(), {6}, {6}, {6}, {6}, {6}]",12,
LocalStandardReflectiveEquilibrium,"[[-8, -5, -6], [2, -8], [-7, -8], [4, -9, -5], [1, -9], [4, 5, 6], [6, -2, -5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.2352618834042398,118,2.25,0.2,set(),[],"{3, 5, 8, -9, -7, -1}",6,0,0,0,False,,"{-7, -9}",2,0,0,False,True,28,[{-7}],1.0,{-9},{-9},"[{1}, {-9}]","[0, 0.29444444444444445, 0.3407407407407407, 0.9296296296296296, 0.9561728395061729, 0.9561728395061729, 0.971604938271605, 0.971604938271605, 0.975925925925926, 0.975925925925926, 0.975925925925926, 0.975925925925926]",True,4,4,0,0,4,5,"[2, 3, 4, 6, 8]","[{3, 5, 8, -9, -7, -1}, {3, 5, -9, -7, -1}, {-7, 3, 5, -9}, {-7, 5, -9}, {-7, -9}, {-7, -9}]","[set(), {-9}, {-9}, {-9}, {-9}, {-9}]",12,
LocalStandardReflectiveEquilibrium,"[[-1, -5], [3, -9, -1], [-2, 3], [-6, -7, -2], [4, 6], [-7, -4, 9], [-8, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.24797951946923044,109,2.1875,0.1625,set(),[],"{1, 4, 5, 6, 7, -3}",6,0,0,2,True,False,"{1, 4, 6}",3,0,0,True,True,24,[{1}],1.0,{4},"{4, 6}","[{-7, -9}, {4}]","[0, 0.29444444444444445, 0.3407407407407407, 0.9598765432098766, 0.9777777777777779, 0.9777777777777779, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679]",True,3,3,0,0,3,6,"[2, 3, 4, 6]","[{1, 4, 5, 6, 7, -3}, {1, 4, 5, 6, 7}, {1, 4, 5, 6}, {1, 4, 6}, {1, 4, 6}]","[set(), {4}, {4}, {4}, {4}]",10,
LocalStandardReflectiveEquilibrium,"[[-1, -5], [3, -9, -1], [-2, 3], [-6, -7, -2], [4, 6], [-7, -4, 9], [-8, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.24797951946923044,109,2.1875,0.1625,set(),[],"{3, 5, 8, -9, -7, -1}",6,0,0,0,False,,"{8, 5}",2,0,0,False,True,20,[{5}],1.0,{8},{8},"[{-3}, {5, -9}, {1, -9}, {8}]","[0, 0.29444444444444445, 0.3407407407407407, 0.9296296296296296, 0.9561728395061729, 0.9561728395061729, 0.971604938271605, 0.971604938271605, 0.975925925925926, 0.975925925925926, 0.975925925925926, 0.975925925925926]",True,4,4,0,0,4,5,"[2, 3, 4, 6, 8]","[{3, 5, 8, -9, -7, -1}, {3, 5, 8, -7, -1}, {8, -7, 3, 5}, {8, 3, 5}, {8, 5}, {8, 5}]","[set(), {8}, {8}, {8}, {8}, {8}]",12,
LocalStandardReflectiveEquilibrium,"[[8, 1], [4, -1], [-9, 4], [5, -1], [7, 2, -5], [6, -3, -5], [8, -2, 5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.2634048199911545,99,2.1875,0.1625,set(),[],"{1, 4, 5, 6, 7, -3}",6,0,0,0,False,,"{1, -3}",2,0,0,False,True,12,[{1}],1.0,{-3},{-3},[{-3}],"[0, 0.29444444444444445, 0.3407407407407407, 0.9296296296296296, 0.9561728395061729, 0.9561728395061729, 0.971604938271605, 0.971604938271605, 0.975925925925926, 0.975925925925926, 0.975925925925926, 0.975925925925926]",True,4,4,0,0,4,5,"[2, 3, 4, 6, 8]","[{1, 4, 5, 6, 7, -3}, {1, 4, 5, 6, -3}, {1, 4, -3, 6}, {1, -3, 6}, {1, -3}, {1, -3}]","[set(), {-3}, {-3}, {-3}, {-3}, {-3}]",12,
LocalStandardReflectiveEquilibrium,"[[8, 1], [4, -1], [-9, 4], [5, -1], [7, 2, -5], [6, -3, -5], [8, -2, 5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.2634048199911545,99,2.1875,0.1625,set(),[],"{3, 5, 8, -9, -7, -1}",6,0,0,0,False,,"{-8, -7, 5, -1}",4,0,0,True,True,18,[{-7}],1.0,{5},"{-8, 5, -1}",[{5}],"[0, 0.29444444444444445, 0.3407407407407407, 0.9598765432098766, 0.9777777777777779, 0.9777777777777779, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679]",True,4,3,1,0,2,6,"[2, 4, 6]","[{3, 5, 8, -9, -7, -1}, {5, 8, -9, -7, -1}, {5, -9, -8, -7, -1}, {-8, -7, 5, -1}, {-8, -7, 5, -1}]","[set(), {5}, {5}, {5}, {5}]",10,
LocalStandardReflectiveEquilibrium,"[[-1, -8, -7], [-5, -8], [4, 8], [-9, -1], [3, 2, -5], [6, -7], [-4, 8], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.3605680553151702,54,2.125,0.11666666666666667,"{8, 5}",[],"{1, 4, 5, 6, 7, -3}",6,1,0,0,False,,"{8, -3, 5, 6}",4,2,0,False,True,12,[{6}],1.0,{-3},"{8, -3, 5}","[{-3}, {2}]","[0, 0.7411234567901234, 0.7813703703703704, 0.9517098765432099, 0.9722037037037038, 0.9722037037037038, 0.9815864197530865, 0.9815864197530865, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679]",True,4,4,0,1,3,5,"[2, 3, 4, 6]","[{1, 4, 5, 6, 7, -3}, {4, 5, 6, 7, -3}, {-3, 5, 6, 7}, {-3, 5, 6}, {8, -3, 5, 6}, {8, -3, 5, 6}]","[set(), {-3}, {-3}, {-3}, {-3}, {-3}]",12,
LocalStandardReflectiveEquilibrium,"[[-1, -8, -7], [-5, -8], [4, 8], [-9, -1], [3, 2, -5], [6, -7], [-4, 8], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.3605680553151702,54,2.125,0.11666666666666667,"{8, 5}",[],"{3, 5, 8, -9, -7, -1}",6,2,0,4,True,False,"{8, -7, 5, -9}",4,2,0,False,True,12,[{-9}],1.0,{-7},"{8, -7, 5}","[{-7}, {6}]","[0, 0.7933641975308642, 0.8223765432098765, 0.9814814814814815, 0.9907407407407408, 0.9907407407407408, 0.9907407407407408, 0.9907407407407408]",True,2,2,0,0,2,7,"[2, 4]","[{3, 5, 8, -9, -7, -1}, {3, 5, 8, -9, -7}, {8, -7, 5, -9}, {8, -7, 5, -9}]","[set(), {-7}, {-7}, {-7}]",8,
