model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
LocalStandardReflectiveEquilibrium,"[[2, 3], [5, 2], [-1, -2], [4, 6, 1], [-3, 6], [-5, 1], [-2, -5, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.446345317518773,10,2.1538461538461537,0.14102564102564102,{1},[],"{5, -1, -6, -4, -3, -2}",6,0,1,0,False,,"{1, -4, 5}",3,1,0,False,True,2,[{5}],1.0,{-4},"{1, -4}",[{-4}],"[0, 0.1, 0.20416666666666664, 0.8416666666666667, 0.9013888888888889, 0.9013888888888889, 0.9361111111111111, 0.9361111111111111, 0.9458333333333333, 0.9458333333333333, 0.9458333333333333, 0.9458333333333333]",True,5,4,1,0,3,2,"[2, 4, 6, 8]","[{5, -1, -6, -4, -3, -2}, {5, -1, -6, -4, -2}, {-6, -4, 5, -1}, {1, -6, -4, 5}, {1, -4, 5}, {1, -4, 5}]","[set(), {-4}, {-4}, {-4}, {-4}, {-4}]",12,
LocalStandardReflectiveEquilibrium,"[[2, 3], [5, 2], [-1, -2], [4, 6, 1], [-3, 6], [-5, 1], [-2, -5, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.446345317518773,10,2.1538461538461537,0.14102564102564102,{1},[],"{4, -1, -6, -5, -3, -2}",6,0,1,0,False,,"{6, -2, -5, -3, -1}",5,0,1,,False,0,,,{-2},"{1, 6, -5, -3, -2}","[{-3}, {-2}]","[0, 0.1, 0.20416666666666664, 0.9457916666666667, 0.9724583333333333, 0.9724583333333333, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",False,3,2,1,0,1,4,"[2, 3, 4]","[{4, -1, -6, -5, -3, -2}, {4, -1, -5, -3, -2}, {-5, -3, -1, -2}, {6, -2, -5, -3, -1}, {6, -2, -5, -3, -1}]","[set(), {-2}, {-2}, {-2}, {-2}]",10,
LocalStandardReflectiveEquilibrium,"[[6, -5], [-4, -5], [-1, -2, 6], [-5, -1, -2], [-3, 5], [-6, 4, 3], [4, -5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.446345317518773,10,2.230769230769231,0.19230769230769232,"{3, -5}",[],"{5, -1, -6, -4, -3, -2}",6,0,2,0,False,,"{6, -1, -5, -4, -3, -2}",6,1,1,,False,0,,,"{-4, -1}","{3, 6, -1, -5, -4, -2}","[{-4, -1}]","[0, 0.5125000000000001, 0.6166666666666667, 0.8913472222222222, 0.9374583333333334, 0.9571805555555556, 0.9638888888888889, 0.9638888888888889, 0.9638888888888889, 0.9638888888888889]",False,4,2,2,0,0,4,"[2, 4]","[{5, -1, -6, -4, -3, -2}, {5, -1, -4, -3, -2}, {-1, -5, -4, -3, -2}, {6, -1, -5, -4, -3, -2}, {6, -1, -5, -4, -3, -2}]","[set(), {-1}, {-4, -1}, {-4, -1}, {-4, -1}]",10,
LocalStandardReflectiveEquilibrium,"[[6, -5], [-4, -5], [-1, -2, 6], [-5, -1, -2], [-3, 5], [-6, 4, 3], [4, -5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.446345317518773,10,2.230769230769231,0.19230769230769232,"{3, -5}",[],"{4, -1, -6, -5, -3, -2}",6,1,1,0,False,,"{3, 4, 6, -1, -5, -2}",6,2,0,True,True,1,[{4}],1.0,{-1},"{3, 6, -2, -5, -1}",[{-1}],"[0, 0.6194444444444445, 0.7041666666666667, 0.9457916666666667, 0.9724583333333333, 0.9727361111111111, 0.9736111111111111, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",True,4,2,2,0,0,4,"[2, 4]","[{4, -1, -6, -5, -3, -2}, {4, -1, -5, -3, -2}, {3, 4, -2, -5, -1}, {3, 4, 6, -1, -5, -2}, {3, 4, 6, -1, -5, -2}]","[set(), {-1}, {4, -1}, {-1}, {-1}]",10,
LocalStandardReflectiveEquilibrium,"[[-2, -4, 1], [3, 2], [-6, 5, -1], [5, 1, 3], [-1, 5, -4], [-1, -2], [-3, -4, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.36544084632373264,14,2.3846153846153846,0.2564102564102564,set(),[],"{5, -1, -6, -4, -3, -2}",6,0,0,0,False,,"{-1, -5, -4, -3, -2}",5,0,0,,False,0,,,{-1},"{4, -1, -5, -3, -2}",[{-1}],"[0, 0.1, 0.20416666666666664, 0.9583333333333334, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",False,3,2,1,0,1,4,"[2, 4]","[{5, -1, -6, -4, -3, -2}, {5, -1, -4, -3, -2}, {-1, -5, -4, -3, -2}, {-1, -5, -4, -3, -2}]","[set(), {-1}, {-1}, {-1}]",8,
LocalStandardReflectiveEquilibrium,"[[-2, -4, 1], [3, 2], [-6, 5, -1], [5, 1, 3], [-1, 5, -4], [-1, -2], [-3, -4, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.36544084632373264,14,2.3846153846153846,0.2564102564102564,set(),[],"{4, -1, -6, -5, -3, -2}",6,0,0,1,True,True,"{4, -1, -5, -3, -2}",5,0,0,True,True,2,[set()],0.0,{-1},"{4, -1, -5, -3, -2}",[{-1}],"[0, 0.1, 0.20416666666666664, 0.9807916666666666, 0.9902777777777777, 0.9902777777777777, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,1,1,0,0,1,5,[2],"[{4, -1, -6, -5, -3, -2}, {4, -1, -6, -5, -2}, {4, -1, -6, -5, -3, -2}, {4, -1, -5, -3, -2}, {4, -1, -5, -3, -2}]","[set(), {-1}, {-1}, {-1}, {-1}]",10,
LocalStandardReflectiveEquilibrium,"[[-1, 4, 6], [-2, -5, -4], [-1, 3, 6], [-6, 3], [1, -6], [6, -5, 4], [-4, -2, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.3333333333333333,16,2.3846153846153846,0.2564102564102564,set(),[],"{5, -1, -6, -4, -3, -2}",6,0,0,0,False,,"{-6, -3, -1}",3,0,0,,False,0,,,{-3},"{-3, -1, 6}",[{-3}],"[0, 0.1, 0.20416666666666664, 0.9097222222222222, 0.9500000000000001, 0.9500000000000001, 0.9652777777777777, 0.9652777777777777, 0.9652777777777777, 0.9652777777777777]",False,3,3,0,0,3,3,"[2, 4, 6]","[{5, -1, -6, -4, -3, -2}, {-1, -6, -4, -3, -2}, {-6, -4, -3, -1}, {-6, -3, -1}, {-6, -3, -1}]","[set(), {-3}, {-3}, {-3}, {-3}]",10,
LocalStandardReflectiveEquilibrium,"[[-1, 4, 6], [-2, -5, -4], [-1, 3, 6], [-6, 3], [1, -6], [6, -5, 4], [-4, -2, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.3333333333333333,16,2.3846153846153846,0.2564102564102564,set(),[],"{4, -1, -6, -5, -3, -2}",6,0,0,0,False,,"{4, 5, 6, -1, -3, -2}",6,0,0,True,True,1,[set()],0.0,"{-3, -2}","{4, 5, 6, -1, -3, -2}","[{-3, -2}]","[0, 0.1, 0.20416666666666664, 0.8913472222222222, 0.9374583333333334, 0.970111111111111, 0.9727361111111111, 0.9727361111111111, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111]",True,4,2,2,0,0,4,"[2, 4, 6]","[{4, -1, -6, -5, -3, -2}, {4, -1, -5, -3, -2}, {4, -3, -1, -2}, {4, 5, -1, -3, -2}, {4, 5, 6, -1, -3, -2}, {4, 5, 6, -1, -3, -2}]","[set(), {-3}, {-3, -2}, {-3, -2}, {-3, -2}, {-3, -2}]",12,
LocalStandardReflectiveEquilibrium,"[[-3, 5, -6], [-1, -3], [2, 4, 1], [-2, -4, -3], [6, -4], [-5, -1, -6], [5, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2920120810927358,19,2.3076923076923075,0.23076923076923075,set(),[],"{5, -1, -6, -4, -3, -2}",6,0,0,1,True,True,"{5, -6, -4, -3, -2}",5,0,0,True,True,2,[set()],0.0,"{5, -2}","{5, -6, -4, -3, -2}","[{5, -2}]","[0, 0.1, 0.20416666666666664, 0.9097222222222222, 0.9500000000000001, 0.966013888888889, 0.9752222222222222, 0.9752222222222222, 0.9752222222222222, 0.9752222222222222]",True,1,1,0,0,1,5,"[2, 4]","[{5, -1, -6, -4, -3, -2}, {5, -1, -4, -3, -2}, {-3, -4, 5, -2}, {5, -6, -4, -3, -2}, {5, -6, -4, -3, -2}]","[set(), {5}, {5, -2}, {5, -2}, {5, -2}]",10,
LocalStandardReflectiveEquilibrium,"[[-3, 5, -6], [-1, -3], [2, 4, 1], [-2, -4, -3], [6, -4], [-5, -1, -6], [5, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2920120810927358,19,2.3076923076923075,0.23076923076923075,set(),[],"{4, -1, -6, -5, -3, -2}",6,0,0,1,True,True,"{-6, 4, -3, -1}",4,0,0,False,True,1,[{4}],1.0,{-1},"{-6, -3, -1}",[{-1}],"[0, 0.1, 0.20416666666666664, 0.9583333333333334, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",True,2,2,0,0,2,4,"[2, 4]","[{4, -1, -6, -5, -3, -2}, {4, -1, -6, -3, -2}, {-6, 4, -3, -1}, {-6, 4, -3, -1}]","[set(), {-1}, {-1}, {-1}]",8,
LocalStandardReflectiveEquilibrium,"[[-2, -5], [4, -1, -2], [6, 3, 2], [4, 5], [6, -2], [1, -2], [-6, -3, -5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.4716791664262813,9,2.230769230769231,0.19230769230769232,{-4},[],"{5, -1, -6, -4, -3, -2}",6,1,0,0,False,,"{2, 3, 5, -6, -4, -1}",6,1,0,True,True,1,[set()],0.0,{5},"{2, 3, 5, -6, -4, -1}",[{5}],"[0, 0.20694444444444443, 0.2916666666666667, 0.9457916666666667, 0.9724583333333333, 0.9724583333333333, 0.9874999999999999, 0.9874999999999999, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,4,2,2,0,0,4,"[2, 3, 4]","[{5, -1, -6, -4, -3, -2}, {5, -1, -4, -3, -2}, {3, 5, -1, -4, -2}, {3, 5, -1, -6, -4, -2}, {2, 3, 5, -6, -4, -1}, {2, 3, 5, -6, -4, -1}]","[set(), {5}, {5}, {5}, {5}, {5}]",12,
LocalStandardReflectiveEquilibrium,"[[-2, -5], [4, -1, -2], [6, 3, 2], [4, 5], [6, -2], [1, -2], [-6, -3, -5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.4716791664262813,9,2.230769230769231,0.19230769230769232,{-4},[],"{4, -1, -6, -5, -3, -2}",6,0,1,0,False,,"{4, 6, -5, -3, -2}",5,0,1,,False,0,,,{6},"{6, -5, -4, -3, -2}",[{6}],"[0, 0.1, 0.20416666666666664, 0.9583333333333334, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",False,3,2,1,0,1,4,"[2, 4]","[{4, -1, -6, -5, -3, -2}, {4, -6, -5, -3, -2}, {4, 6, -5, -3, -2}, {4, 6, -5, -3, -2}]","[set(), {6}, {6}, {6}]",8,
LocalStandardReflectiveEquilibrium,"[[5, -3, -1], [-2, 4, -5], [6, -4], [5, 4], [4, 3], [-3, 5], [1, -4, -6], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.4025062498798073,12,2.230769230769231,0.19230769230769232,{3},[],"{5, -1, -6, -4, -3, -2}",6,0,1,0,False,,"{6, -1, -5, -4, -3, -2}",6,0,1,,False,0,,,"{-2, 6}","{3, 6, -1, -5, -4, -2}","[{-2, 6}]","[0, 0.1, 0.20416666666666664, 0.8913472222222222, 0.9374583333333334, 0.9571805555555556, 0.9638888888888889, 0.9638888888888889, 0.9638888888888889, 0.9638888888888889]",False,4,2,2,0,0,4,"[2, 4]","[{5, -1, -6, -4, -3, -2}, {5, -1, -4, -3, -2}, {-1, -5, -4, -3, -2}, {6, -1, -5, -4, -3, -2}, {6, -1, -5, -4, -3, -2}]","[set(), {6}, {-2, 6}, {-2, 6}, {-2, 6}]",10,
