model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
StandardModel,"[[-8, 6], [-3, 6], [-2, -8], [-4, 1, -6], [-7, 5, 6], [4, -2], [-8, -1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8]]",8,15,0.34400906081955185,38,2.1333333333333333,0.12380952380952381,set(),[],"{2, 5, 6, 7, -8, -3}",6,0,0,1,True,False,"{2, 5, 7, 8, -6, -4, -3}",7,0,0,,False,0,,,"{-6, 5}","{2, 3, 5, 7, 8, -6, -4}","[{1, 5}, {-6, 5}]","[0, 0.9292208227040816, 0.9770567602040816, 0.9770567602040816, 0.9770567602040816, 0.9770567602040816]",False,5,3,2,1,0,5,[2],"[{2, 5, 6, 7, -8, -3}, {2, 5, 7, 8, -6, -4, -3}, {2, 5, 7, 8, -6, -4, -3}]","[{-6, 5}, {-6, 5}, {-6, 5}]",6,"{({4}, {4, 6, 7, -1, -8, -2}), ({-3}, {-8, -3, -1, 6}), ({-3}, {2, -3, -1, 6}), ({-3}, {-3, 5, -1, 6}), ({-2}, {6, -2, -8, -3, -1}), ({-8}, {-8, 2, -1, 6}), ({-2}, {5, 6, -2, -8, -1}), ({-2}, {-8, 2, -1, 6}), ({-8}, {-8, -3, -1, 6}), ({-8}, {-8, 5, -1, 6}), ({4}, {4, 6, -1, -8, -3, -2}), ({4}, {2, 4, 6, -8, -1}), ({4}, {4, 5, 6, -1, -8, -2}), ({-8}, {-8, 6, -1, 7}), ({-3}, {6, -3, -1, 7}), ({-2}, {6, 7, -1, -8, -2})}"
StandardModel,"[[-8, 6], [-3, 6], [-2, -8], [-4, 1, -6], [-7, 5, 6], [4, -2], [-8, -1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8]]",8,15,0.34400906081955185,38,2.1333333333333333,0.12380952380952381,set(),[],"{2, 3, -4}",3,0,0,14,True,True,"{2, 3, 8, -6, -4}",5,0,0,True,True,6,[set()],0.0,{-6},"{2, 3, 8, -6, -4}","[{1}, {-6}]","[0, 0.99803125, 1.0, 1.0, 1.0, 1.0]",True,2,2,0,2,0,6,[],"[{2, 3, -4}, {2, 3, 8, -6, -4}, {2, 3, 8, -6, -4}]","[{-6}, {-6}, {-6}]",6,"{({1}, {1, 2, 3, 8, -6, -4}), ({-6}, {2, 3, 8, -6, -4})}"
StandardModel,"[[3, 5], [-7, 5], [1, 4, 3], [-8, -1], [-2, 6, 4], [3, 1, -4], [5, 8, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8]]",8,15,0.23643444290272886,69,2.2666666666666666,0.20952380952380953,set(),[],"{2, 5, 6, 7, -8, -3}",6,0,0,2,True,False,"{1, 2, 6, 7, 8, -5, -4, -3}",8,0,0,True,True,1,[set()],0.0,"{1, -5, 6}","{1, 2, 6, 7, 8, -5, -4, -3}","[{1, -5, 6}]","[0, 0.92865625, 0.959375, 0.959375, 0.959375, 0.959375]",True,6,4,2,2,0,4,[],"[{2, 5, 6, 7, -8, -3}, {1, 2, 6, 7, 8, -5, -4, -3}, {1, 2, 6, 7, 8, -5, -4, -3}]","[{1, -5, 6}, {1, -5, 6}, {1, -5, 6}]",6,"{({-5}, {-3, 5, 7}), ({-5}, {2, -5, -3, 7}), ({-5}, {-8, -5, -3, 7}), ({-5}, {-5, -3, 6, 7})}"
StandardModel,"[[3, 5], [-7, 5], [1, 4, 3], [-8, -1], [-2, 6, 4], [3, 1, -4], [5, 8, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8]]",8,15,0.23643444290272886,69,2.2666666666666666,0.20952380952380953,set(),[],"{2, 3, -4}",3,0,0,12,True,False,{2},1,0,0,True,True,42,[set()],0.0,{2},{2},"[{-4, 6}, {8, 5, 6}, {8, -7, 6}, {1, 6}, {8, 3, 6}, {2}]","[0, 0.978125, 0.99375, 0.99375, 0.99375, 0.99375]",True,2,2,0,0,2,6,[1],"[{2, 3, -4}, {2}, {2}]","[{2}, {2}, {2}]",6,"{({2}, {2}), ({-4}, {-4}), ({3}, {3, 5}), ({1}, {8, 1, -4})}"
StandardModel,"[[4, -8, 7], [-2, -1, 4], [-5, -6, 8], [4, -1, 5], [2, -8, -4], [-3, -2], [6, 8, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8]]",8,15,0.2143247226422189,78,2.4,0.2571428571428571,set(),[],"{2, 5, 6, 7, -8, -3}",6,0,0,0,False,,"{2, 3, 5, 6, -8, -4}",6,0,0,True,True,4,[{5}],1.0,"{2, 6}","{2, 3, 6, -8, -4}","[{-4, -1, 6}, {-5, -1, 6}, {2, 6}, {-8, -5, -1}, {-8, 2, -5}, {-7, 3, -1, 6}, {-8, -7, -1, 6}]","[0, 0.9184453124999999, 0.96628125, 0.96628125, 0.96628125, 0.96628125]",True,4,3,1,1,1,5,[2],"[{2, 5, 6, 7, -8, -3}, {2, 3, 5, 6, -8, -4}, {2, 3, 5, 6, -8, -4}]","[{2, 6}, {2, 6}, {2, 6}]",6,"{({7}, {-8, 7}), ({5}, {-8, 5}), ({-8}, {-8, 5}), ({2}, {2, 3, 5}), ({-3}, {-3, -2, 7}), ({6}, {2, 6}), ({-3}, {2, -3}), ({-3}, {-3, -2, 6}), ({-8}, {-8, 2}), ({7}, {5, 7}), ({6}, {6, 7}), ({-8}, {-8, 7}), ({2}, {2, 3, 7}), ({6}, {-3, 6}), ({-3}, {-8, -3, -2}), ({7}, {2, 7}), ({5}, {2, 5}), ({-8}, {-8, -3}), ({2}, {2, 3, 6}), ({5}, {5, 7}), ({-8}, {-8, 6}), ({6}, {-8, 6}), ({2}, {2, -3}), ({7}, {-3, 7}), ({5}, {-3, 5}), ({-3}, {-3, 5, -2}), ({2}, {-8, 2, 3}), ({7}, {6, 7}), ({5}, {5, 6}), ({6}, {5, 6})}"
StandardModel,"[[4, -8, 7], [-2, -1, 4], [-5, -6, 8], [4, -1, 5], [2, -8, -4], [-3, -2], [6, 8, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8]]",8,15,0.2143247226422189,78,2.4,0.2571428571428571,set(),[],"{2, 3, -4}",3,0,0,20,True,True,"{2, 3}",2,0,0,True,True,26,[set()],0.0,{2},"{2, 3}","[{-8, -7, -1}, {-4, -1}, {-7, 3, -1, 6}, {-5, -1}, {2}]","[0, 0.99453125, 0.9984375000000001, 0.9984375000000001, 0.9984375000000001, 0.9984375000000001]",True,1,1,0,0,1,7,[],"[{2, 3, -4}, {2, 3}, {2, 3}]","[{2}, {2}, {2}]",6,"{({2}, {2, 3})}"
StandardModel,"[[6, -5], [4, 7, 6], [-3, -6], [1, -3], [-2, -5], [-8, -7], [2, 4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8]]",8,15,0.353759374819711,36,2.066666666666667,0.06666666666666667,set(),[],"{2, 5, 6, 7, -8, -3}",6,0,0,0,False,,"{1, 2, 4, 5, -8, -7, -6, -3}",8,0,0,True,True,1,[{-8}],1.0,"{1, 5}","{1, 2, 4, 5, -7, -6, -3}","[{1, 5}]","[0, 0.92865625, 0.959375, 0.9770567602040816, 0.9770567602040816, 0.9770567602040816]",True,6,4,2,2,0,4,[],"[{2, 5, 6, 7, -8, -3}, {1, 2, 4, 5, -8, -7, -6, -3}, {1, 2, 4, 5, -8, -7, -6, -3}]","[{-8, 1, 5}, {1, 5}, {1, 5}]",6,"{({5}, {2, 4, 5, -7, -6, -3}), ({5}, {2, 4, 5, 7, -6}), ({5}, {2, 4, 5, 6, -7}), ({5}, {2, 4, 5, -8, -7, -6})}"
StandardModel,"[[6, -5], [4, 7, 6], [-3, -6], [1, -3], [-2, -5], [-8, -7], [2, 4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8]]",8,15,0.353759374819711,36,2.066666666666667,0.06666666666666667,set(),[],"{2, 3, -4}",3,0,0,0,False,,"{2, 4}",2,0,0,True,True,15,[set()],0.0,{2},"{2, 4}","[{5}, {2}]","[0, 0.978125, 0.99375, 0.99375, 0.99375, 0.99375]",True,3,2,1,0,1,6,[],"[{2, 3, -4}, {2, 4}, {2, 4}]","[{2}, {2}, {2}]",6,"{({3}, {3, -1}), ({6}, {-5, 3, 6, -1}), ({2}, {2, 4}), ({-4}, {-5, -4, -2}), ({5}, {2, 4, 5, -7, -6})}"
StandardModel,"[[6, -3], [-8, 2, -3], [-5, 6], [-4, 1, 6], [-5, 2, -6], [-7, 4, 8], [-5, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8]]",8,15,0.25,64,2.2666666666666666,0.20952380952380953,{5},[],"{2, 5, 6, 7, -8, -3}",6,1,0,4,True,True,"{-8, -3, 5, 6}",4,1,0,True,True,12,[{-8}],1.0,{6},"{-3, 5, 6}","[{-8, 1, -7}, {1, -4}, {6}]","[0, 0.95078125, 0.98828125, 0.98828125, 0.98828125, 0.98828125]",True,2,2,0,0,2,6,[2],"[{2, 5, 6, 7, -8, -3}, {-8, -3, 5, 6}, {-8, -3, 5, 6}]","[{6}, {6}, {6}]",6,"{({6}, {-8, -3, 5, 6}), ({6}, {-3, 5, 6, 7}), ({6}, {-3, 2, 5, 6})}"
StandardModel,"[[6, -3], [-8, 2, -3], [-5, 6], [-4, 1, 6], [-5, 2, -6], [-7, 4, 8], [-5, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8]]",8,15,0.25,64,2.2666666666666666,0.20952380952380953,{5},[],"{2, 3, -4}",3,0,0,2,True,False,"{-4, 5}",2,1,0,True,True,30,[set()],0.0,{-4},"{-4, 5}","[{-4}, {-8, -7}]","[0, 0.9710703125000001, 0.99375, 0.99375, 0.99375, 0.99375]",True,3,3,0,1,2,5,[1],"[{2, 3, -4}, {-4, 5}, {-4, 5}]","[{-4}, {-4}, {-4}]",6,"{({2}, {2, 5}), ({-4}, {-4, 5}), ({3}, {-6, 3, 5})}"
StandardModel,"[[4, 8], [-5, 7, -8], [-3, -4], [6, 2, 4], [-1, 6], [6, 8], [5, -1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8]]",8,15,0.38663867554893516,30,2.1333333333333333,0.12380952380952381,set(),[],"{2, 5, 6, 7, -8, -3}",6,0,0,0,False,,"{5, 6, 7, 8, -1, -4, -3, -2}",8,0,0,True,True,1,[{7}],1.0,"{-3, 5}","{5, 6, 8, -1, -4, -3, -2}","[{8, -3, 7}, {-3, 6, 7}, {-3, 5}, {-3, -1, 7}]","[0, 0.92865625, 0.959375, 0.9770567602040816, 0.9770567602040816, 0.9770567602040816]",True,6,4,2,2,0,4,[1],"[{2, 5, 6, 7, -8, -3}, {5, 6, 7, 8, -1, -4, -3, -2}, {5, 6, 7, 8, -1, -4, -3, -2}]","[{8, -3, 7}, {-3, 5}, {-3, 5}]",6,"{({5}, {2, 5, 6, 8, -1}), ({5}, {5, 6, 8, -3, -1}), ({5}, {-8, 5, -1, 6}), ({5}, {5, 6, 7, 8, -1})}"
StandardModel,"[[4, 8], [-5, 7, -8], [-3, -4], [6, 2, 4], [-1, 6], [6, 8], [5, -1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8]]",8,15,0.38663867554893516,30,2.1333333333333333,0.12380952380952381,set(),[],"{2, 3, -4}",3,0,0,3,True,False,{-4},1,0,0,True,True,20,[set()],0.0,{-4},{-4},"[{1, 7}, {-5, 7}, {-3}, {-6, 7}, {-8}, {-4}]","[0, 0.978125, 0.99375, 0.99375, 0.99375, 0.99375]",True,2,2,0,0,2,6,[1],"[{2, 3, -4}, {-4}, {-4}]","[{-4}, {-4}, {-4}]",6,"{({-8}, {1, -8, -6, -5, -4}), ({3}, {3}), ({2}, {2}), ({4}, {8, 3, 4}), ({-4}, {-4}), ({-3}, {-4, -3})}"
StandardModel,"[[-5, -7, 2], [-4, 2], [6, 8, -2], [-1, 3, -8], [7, 3], [-8, -7], [-3, -1, -2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8]]",8,15,0.28063906222956647,54,2.2666666666666666,0.20952380952380953,set(),[],"{2, 5, 6, 7, -8, -3}",6,0,0,0,False,,"{1, 2, 5, -7, -3}",5,0,0,True,True,6,,,"{-5, -3}","{1, 2, -7, -5, -3}","[{-5, -3}]","[0, 0.9261723533163265, 0.9488520408163266, 0.949875, 0.95846875, 0.95846875, 0.95846875, 0.95846875]",False,5,4,1,1,2,4,[4],"[{2, 5, 6, 7, -8, -3}, {1, 2, 6, -8, -7, -5, -3}, {1, 2, 5, -7, -3}, {1, 2, 5, -7, -3}]","[{-5, -3, 6}, {-5, -3}, {-5, -3}, {-5, -3}]",8,"{({-3}, {-7, -3, 5}), ({2}, {-8, 2}), ({-8}, {-8, -7, 5}), ({5}, {-8, 5}), ({6}, {2, 6}), ({7}, {1, 3, 5, 7, 8}), ({-3}, {-7, 2, -3}), ({2}, {2, 5}), ({-4}, {2, -4, 7}), ({-8}, {-8, -7, 2}), ({-4}, {2, -4, -3}), ({6}, {6, 7}), ({-3}, {-3, 7}), ({-8}, {-8, 7}), ({-4}, {2, -4, 6}), ({7}, {1, 2, 3, 7, 8}), ({6}, {-3, 6}), ({7}, {-8, 1, 3, 7}), ({5}, {2, 5}), ({-8}, {-8, -7, -3}), ({-3}, {-7, -3, 6}), ({2}, {2, 7}), ({-8}, {-8, -7, 6}), ({-4}, {-8, 2, -4}), ({5}, {5, 7}), ({6}, {-8, 6}), ({2}, {2, -3}), ({7}, {1, 3, 6, 7, 8}), ({5}, {-3, 5}), ({-3}, {-8, -7, -3}), ({2}, {2, 6}), ({5}, {5, 6}), ({7}, {8, 1, -3, 7}), ({-4}, {2, -4, 5}), ({6}, {5, 6})}"
StandardModel,"[[-5, -7, 2], [-4, 2], [6, 8, -2], [-1, 3, -8], [7, 3], [-8, -7], [-3, -1, -2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8]]",8,15,0.28063906222956647,54,2.2666666666666666,0.20952380952380953,set(),[],"{2, 3, -4}",3,0,0,12,True,True,"{2, -4}",2,0,0,True,True,18,[set()],0.0,{-4},"{2, -4}",[{-4}],"[0, 0.99453125, 0.9984375000000001, 0.9984375000000001, 0.9984375000000001, 0.9984375000000001]",True,1,1,0,0,1,7,[],"[{2, 3, -4}, {2, -4}, {2, -4}]","[{-4}, {-4}, {-4}]",6,"{({-4}, {2, -4})}"
