model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
StandardModel,"[[-2, -5], [4, -1, -2], [6, 3, 2], [4, 5], [6, -2], [1, -2], [-6, -3, -5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.4716791664262813,9,2.230769230769231,0.19230769230769232,{-4},[],"{5, -1, -6, -4, -3, -2}",6,1,0,0,False,,"{2, 3, 5, -6, -4, -1}",6,1,0,True,True,1,[set()],0.0,{5},"{2, 3, 5, -6, -4, -1}",[{5}],"[0, 0.9611111111111111, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,4,2,2,0,0,4,[],"[{5, -1, -6, -4, -3, -2}, {2, 3, 5, -6, -4, -1}, {2, 3, 5, -6, -4, -1}]","[{5}, {5}, {5}]",6,"{({5}, {2, 3, 5, -6, -4, -1})}"
StandardModel,"[[-2, -5], [4, -1, -2], [6, 3, 2], [4, 5], [6, -2], [1, -2], [-6, -3, -5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.4716791664262813,9,2.230769230769231,0.19230769230769232,{-4},[],"{4, -1, -6, -5, -3, -2}",6,0,1,0,False,,"{6, -1, -5, -4, -3, -2}",6,1,0,True,True,1,[{-1}],1.0,{6},"{6, -5, -4, -3, -2}",[{6}],"[0, 0.9458333333333332, 0.9736111111111111, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",True,4,2,2,0,0,4,[1],"[{4, -1, -6, -5, -3, -2}, {6, -1, -5, -4, -3, -2}, {6, -1, -5, -4, -3, -2}]","[{-1, 6}, {6}, {6}]",6,"{({6}, {6, -1, -5, -4, -3, -2}), ({6}, {-6, -5, -4, -3, -2}), ({6}, {4, 6, -5, -3, -2})}"
StandardModel,"[[5, -3, -1], [-2, 4, -5], [6, -4], [5, 4], [4, 3], [-3, 5], [1, -4, -6], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.4025062498798073,12,2.230769230769231,0.19230769230769232,{3},[],"{5, -1, -6, -4, -3, -2}",6,0,1,0,False,,"{2, 3, 5, -6, -4, -1}",6,1,0,,False,0,,,"{5, -1}","{2, 3, 4, 5, -6, -1}","[{5, -1}]","[0, 0.8972222222222221, 0.9638888888888889, 0.9638888888888889, 0.9638888888888889, 0.9638888888888889]",False,4,2,2,0,0,4,"[1, 2]","[{5, -1, -6, -4, -3, -2}, {2, 3, 5, -6, -4, -1}, {2, 3, 5, -6, -4, -1}]","[{5, -1}, {5, -1}, {5, -1}]",6,"{({5}, {2, 3, 5, -6, -4}), ({6}, {6, -5, -4, -3, -1}), ({6}, {3, 5, 6, -4, -1}), ({5}, {2, 4, 5, -6, -3}), ({5}, {2, 3, 4, 5, -6, -1}), ({5}, {3, 4, 5, -6, -2}), ({6}, {3, -6, -5, -4, -1}), ({6}, {3, 6, -1, -5, -4, -2})}"
StandardModel,"[[5, -3, -1], [-2, 4, -5], [6, -4], [5, 4], [4, 3], [-3, 5], [1, -4, -6], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.4025062498798073,12,2.230769230769231,0.19230769230769232,{3},[],"{4, -1, -6, -5, -3, -2}",6,0,1,0,False,,"{3, 4, -6, -5, -2}",5,1,0,True,True,2,[set()],0.0,"{4, -2}","{3, 4, -6, -5, -2}","[{4, -2}]","[0, 0.9391111111111111, 0.9668888888888889, 0.9668888888888889, 0.9668888888888889, 0.9668888888888889]",True,3,2,1,0,1,4,[],"[{4, -1, -6, -5, -3, -2}, {3, 4, -6, -5, -2}, {3, 4, -6, -5, -2}]","[{4, -2}, {4, -2}, {4, -2}]",6,"{({4, -2}, {3, 4, -6, -5, -2})}"
StandardModel,"[[-2, 6], [-4, -1, -6], [5, 4], [6, -3, -4], [3, 4], [3, 6], [4, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.4025062498798073,12,2.1538461538461537,0.14102564102564102,set(),[],"{5, -1, -6, -4, -3, -2}",6,0,0,0,False,,"{2, -6, -5, -4, -3, -1}",6,0,0,True,True,1,[set()],0.0,"{-4, -1}","{2, -6, -5, -4, -3, -1}","[{-4, -1}]","[0, 0.9458333333333332, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111]",True,4,2,2,0,0,4,[],"[{5, -1, -6, -4, -3, -2}, {2, -6, -5, -4, -3, -1}, {2, -6, -5, -4, -3, -1}]","[{-4, -1}, {-4, -1}, {-4, -1}]",6,"{({-2}, {1, -6, -5, -4, -3, -2}), ({-2}, {1, 5, 6, -4, -3, -2}), ({-2}, {6, -1, -5, -4, -3, -2})}"
StandardModel,"[[-2, 6], [-4, -1, -6], [5, 4], [6, -3, -4], [3, 4], [3, 6], [4, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.4025062498798073,12,2.1538461538461537,0.14102564102564102,set(),[],"{4, -1, -6, -5, -3, -2}",6,0,0,0,False,,"{2, -6, -5, -4, -3, -1}",6,0,0,True,True,1,[set()],0.0,"{-4, -1}","{2, -6, -5, -4, -3, -1}","[{-4, -1}]","[0, 0.9458333333333332, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111]",True,4,2,2,0,0,4,[],"[{4, -1, -6, -5, -3, -2}, {2, -6, -5, -4, -3, -1}, {2, -6, -5, -4, -3, -1}]","[{-4, -1}, {-4, -1}, {-4, -1}]",6,"{({-2}, {1, -6, -5, -4, -3, -2}), ({-2}, {1, 4, 6, -5, -3, -2}), ({-2}, {6, -1, -5, -4, -3, -2})}"
StandardModel,"[[-1, -6], [3, -5, -1], [2, -1], [-4, 1], [-6, -3], [2, 1], [-2, -1, 5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.42342806356045043,11,2.1538461538461537,0.14102564102564102,{-2},[],"{5, -1, -6, -4, -3, -2}",6,1,0,0,False,,"{4, 5, -1, -6, -3, -2}",6,1,0,True,True,1,[set()],0.0,{-1},"{4, 5, -1, -6, -3, -2}",[{-1}],"[0, 0.9902777777777777, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,2,1,1,0,0,5,[],"[{5, -1, -6, -4, -3, -2}, {4, 5, -1, -6, -3, -2}, {4, 5, -1, -6, -3, -2}]","[{-1}, {-1}, {-1}]",6,"{({-1}, {4, 5, -1, -6, -3, -2})}"
StandardModel,"[[-1, -6], [3, -5, -1], [2, -1], [-4, 1], [-6, -3], [2, 1], [-2, -1, 5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.42342806356045043,11,2.1538461538461537,0.14102564102564102,{-2},[],"{4, -1, -6, -5, -3, -2}",6,1,0,0,False,,"{4, 5, -1, -6, -3, -2}",6,1,0,True,True,1,[set()],0.0,{-1},"{4, 5, -1, -6, -3, -2}",[{-1}],"[0, 0.9902777777777777, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,2,1,1,0,0,5,[],"[{4, -1, -6, -5, -3, -2}, {4, 5, -1, -6, -3, -2}, {4, 5, -1, -6, -3, -2}]","[{-1}, {-1}, {-1}]",6,"{({-1}, {4, 5, -1, -6, -3, -2})}"
StandardModel,"[[-1, 5], [4, -5], [6, 2, 5], [3, -5], [3, 6, 2], [-1, -6, -5], [3, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.36544084632373264,14,2.230769230769231,0.19230769230769232,set(),[],"{5, -1, -6, -4, -3, -2}",6,0,0,0,False,,"{5, 6, -4, -3, -1}",5,0,0,True,True,2,[set()],0.0,{-1},"{5, 6, -4, -3, -1}",[{-1}],"[0, 0.975, 0.9819444444444444, 0.9874999999999999, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,3,2,1,0,1,4,[],"[{5, -1, -6, -4, -3, -2}, {5, 6, -1, -4, -3, -2}, {5, 6, -4, -3, -1}, {5, 6, -4, -3, -1}]","[{-1, -2}, {-1}, {-1}, {-1}]",8,"{({-1}, {5, 6, -4, -3, -1})}"
StandardModel,"[[-1, 5], [4, -5], [6, 2, 5], [3, -5], [3, 6, 2], [-1, -6, -5], [3, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.36544084632373264,14,2.230769230769231,0.19230769230769232,set(),[],"{4, -1, -6, -5, -3, -2}",6,0,0,0,False,,"{1, 2, 4, -6, -5, -3}",6,0,0,True,True,1,[set()],0.0,"{2, 4}","{1, 2, 4, -6, -5, -3}","[{2, 4}]","[0, 0.9458333333333332, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111]",True,4,2,2,0,0,4,[1],"[{4, -1, -6, -5, -3, -2}, {1, 2, 4, -6, -5, -3}, {1, 2, 4, -6, -5, -3}]","[{2, 4}, {2, 4}, {2, 4}]",6,"{({4}, {1, 4, -5, -3, -2}), ({4}, {1, 4, -6, -5, -3}), ({4}, {-5, 4, -3, -1})}"
StandardModel,"[[-4, -5, 6], [-3, 4], [1, -2, 3], [-2, -4], [-2, 5], [4, -6, 5], [-3, 4, 1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2920120810927358,19,2.3076923076923075,0.23076923076923075,set(),[],"{5, -1, -6, -4, -3, -2}",6,0,0,0,False,,"{3, 5, -1, -4, -2}",5,0,0,True,True,2,[{-1}],1.0,{-2},"{3, -4, 5, -2}",[{-2}],"[0, 0.9391111111111111, 0.9668888888888889, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",True,3,2,1,0,1,4,[1],"[{5, -1, -6, -4, -3, -2}, {3, 5, -1, -4, -2}, {3, 5, -1, -4, -2}]","[{-1, -2}, {-2}, {-2}]",6,"{({-2}, {3, 5, -6, -4, -2}), ({-2}, {3, 5, -1, -4, -2}), ({-2}, {-3, -4, 5, -2})}"
StandardModel,"[[-4, -5, 6], [-3, 4], [1, -2, 3], [-2, -4], [-2, 5], [4, -6, 5], [-3, 4, 1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2920120810927358,19,2.3076923076923075,0.23076923076923075,set(),[],"{4, -1, -6, -5, -3, -2}",6,0,0,0,False,,"{1, 2, 4, -6, -5, -3}",6,0,0,,False,0,,,"{-6, -3}","{1, 2, 4, 5, -6, -3}","[{-6, -3}]","[0, 0.8972222222222221, 0.9638888888888889, 0.9638888888888889, 0.9638888888888889, 0.9638888888888889]",False,4,2,2,0,0,4,"[1, 2]","[{4, -1, -6, -5, -3, -2}, {1, 2, 4, -6, -5, -3}, {1, 2, 4, -6, -5, -3}]","[{-6, -3}, {-6, -3}, {-6, -3}]",6,"{({-3}, {1, 4, -3, -2}), ({-3}, {1, 2, 4, -6, -3}), ({-3}, {1, 2, 4, -5, -3}), ({-3}, {2, 4, -3, -1})}"
StandardModel,"[[4, -2, 6], [-1, 2], [-5, 1], [3, 1], [-4, 6, 2], [-2, -4, -3], [-5, -1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.3488515673985802,15,2.230769230769231,0.19230769230769232,{5},[],"{5, -1, -6, -4, -3, -2}",6,1,0,0,False,,"{1, 5, -6, -4, -3, -2}",6,1,0,True,True,1,[set()],0.0,"{-6, -2}","{1, 5, -6, -4, -3, -2}","[{-4, -2}, {-6, -2}]","[0, 0.975, 0.9819444444444444, 0.9819444444444444, 0.9819444444444444, 0.9819444444444444]",True,2,1,1,0,0,5,[1],"[{5, -1, -6, -4, -3, -2}, {1, 5, -6, -4, -3, -2}, {1, 5, -6, -4, -3, -2}]","[{-6, -2}, {-6, -2}, {-6, -2}]",6,"{({-4, -2}, {1, 5, -6, -4, -3, -2}), ({-6, -2}, {1, 5, -6, -4, -3, -2})}"
StandardModel,"[[4, -2, 6], [-1, 2], [-5, 1], [3, 1], [-4, 6, 2], [-2, -4, -3], [-5, -1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.3488515673985802,15,2.230769230769231,0.19230769230769232,{5},[],"{4, -1, -6, -5, -3, -2}",6,0,1,0,False,,"{2, 4, 5, -6, -3, -1}",6,1,0,True,True,1,[{4}],1.0,"{-6, -1}","{2, 5, -6, -3, -1}","[{-6, -1}]","[0, 0.9, 0.9277777777777778, 0.9571666666666666, 0.9571666666666666, 0.9571666666666666]",True,4,2,2,0,0,4,[3],"[{4, -1, -6, -5, -3, -2}, {2, 4, 5, -6, -3, -1}, {2, 4, 5, -6, -3, -1}]","[{-6, 4, -1}, {-6, -1}, {-6, -1}]",6,"{({-1}, {2, 5, -6, -3, -1}), ({-1}, {2, 4, 5, -3, -1}), ({-1}, {-3, 5, -1, -2}), ({-1}, {2, -5, -3, -1})}"
StandardModel,"[[3, 6, 1], [-4, 3], [2, 4], [-5, 4], [-5, 3, -6], [3, 1, 6], [-1, -6], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.27967865085210625,20,2.230769230769231,0.19230769230769232,set(),[],"{5, -1, -6, -4, -3, -2}",6,0,0,0,False,,"{3, 5, -1, -6, -4, -2}",6,0,0,True,True,1,[set()],0.0,"{-4, -1}","{3, 5, -1, -6, -4, -2}","[{-4, -1}, {-6, -4}]","[0, 0.975, 0.9819444444444444, 0.9819444444444444, 0.9819444444444444, 0.9819444444444444]",True,2,1,1,0,0,5,[1],"[{5, -1, -6, -4, -3, -2}, {3, 5, -1, -6, -4, -2}, {3, 5, -1, -6, -4, -2}]","[{-4, -1}, {-4, -1}, {-4, -1}]",6,"{({-4, -1}, {3, 5, -1, -6, -4, -2}), ({-6, -4}, {3, 5, -1, -6, -4, -2})}"
StandardModel,"[[3, 6, 1], [-4, 3], [2, 4], [-5, 4], [-5, 3, -6], [3, 1, 6], [-1, -6], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.27967865085210625,20,2.230769230769231,0.19230769230769232,set(),[],"{4, -1, -6, -5, -3, -2}",6,0,0,1,True,True,"{3, 4, -6, -5, -1}",5,0,0,True,True,2,[set()],0.0,"{3, -5}","{3, 4, -6, -5, -1}","[{3, -5}]","[0, 0.9391111111111111, 0.9668888888888889, 0.9668888888888889, 0.9668888888888889, 0.9668888888888889]",True,3,2,1,0,1,4,[],"[{4, -1, -6, -5, -3, -2}, {3, 4, -6, -5, -1}, {3, 4, -6, -5, -1}]","[{3, -5}, {3, -5}, {3, -5}]",6,"{({3, -5}, {3, 4, -6, -5, -1})}"
StandardModel,"[[-6, -2, -5], [3, -6], [1, 4, 5], [-6, -4], [-6, -3], [-4, -6, -5], [-2, 1, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.31875619312494347,17,2.3076923076923075,0.23076923076923075,{-3},[],"{5, -1, -6, -4, -3, -2}",6,1,0,0,False,,"{-6, -5, -4, -3, -1}",5,1,0,True,True,2,[{-1}],1.0,{-6},"{-6, -5, -4, -3}",[{-6}],"[0, 0.9391111111111111, 0.9668888888888889, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",True,3,2,1,0,1,4,[1],"[{5, -1, -6, -4, -3, -2}, {-6, -5, -4, -3, -1}, {-6, -5, -4, -3, -1}]","[{-6, -1}, {-6}, {-6}]",6,"{({-6}, {-6, -5, -4, -3, -1}), ({-6}, {-6, -5, -4, -3, -2}), ({-6}, {-3, -6, -4, 5})}"
StandardModel,"[[-6, -2, -5], [3, -6], [1, 4, 5], [-6, -4], [-6, -3], [-4, -6, -5], [-2, 1, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.31875619312494347,17,2.3076923076923075,0.23076923076923075,{-3},[],"{4, -1, -6, -5, -3, -2}",6,1,0,0,False,,"{4, 6, -5, -3, -1}",5,1,0,True,True,2,[set()],0.0,"{-5, 4}","{4, 6, -5, -3, -1}","[{-5, 4}]","[0, 0.9391111111111111, 0.9668888888888889, 0.9668888888888889, 0.9668888888888889, 0.9668888888888889]",True,3,2,1,0,1,4,[1],"[{4, -1, -6, -5, -3, -2}, {4, 6, -5, -3, -1}, {4, 6, -5, -3, -1}]","[{-5, 4}, {-5, 4}, {-5, 4}]",6,"{({-6}, {-6, -5, -4, -3, -1}), ({-6}, {-6, -5, 4, -3}), ({-6}, {-6, -5, -4, -3, -2})}"
