model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
StandardModel,"[[6, 3, -9], [-1, -4, 3], [-8, 7, -6], [-5, -8], [-2, -3], [-1, -6, -7], [-6, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.22731152106812502,124,2.25,0.2,set(),[],"{4, 8, -9, -5, -3, -2}",6,0,0,0,False,,"{-3, -2, -9}",3,0,0,True,True,27,[{-9}],1.0,{-2},"{-3, -2}",[{-2}],"[0, 0.9308641975308641, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679]",True,3,3,0,0,3,6,[2],"[{4, 8, -9, -5, -3, -2}, {-3, -2, -9}, {-3, -2, -9}]","[{-2}, {-2}, {-2}]",6,"{({-2}, {-5, -3, -2}), ({-2}, {4, -3, -2}), ({-2}, {-3, -2, -9}), ({-2}, {8, -3, -2})}"
StandardModel,"[[6, 3, -9], [-1, -4, 3], [-8, 7, -6], [-5, -8], [-2, -3], [-1, -6, -7], [-6, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.22731152106812502,124,2.25,0.2,set(),[],"{-8, 1, 6}",3,0,0,20,True,False,{1},1,0,0,True,True,88,[set()],0.0,{1},{1},"[{-5, 7}, {-4, -3}, {-6, 7}, {9, -4}, {-4, -2}, {1}, {-8, 7}, {-6, -4}]","[0, 0.9827160493827161, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618]",True,2,2,0,0,2,7,[1],"[{-8, 1, 6}, {1}, {1}]","[{1}, {1}, {1}]",6,"{({1}, {1}), ({3}, {2, 3, 6, -9}), ({-8}, {-8}), ({-5}, {-8, -5}), ({6}, {6})}"
StandardModel,"[[-6, 9, 2], [-8, -6], [-3, -4, 8], [1, 9], [5, 7, -3], [-7, -5, -4], [2, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.2509481126220947,107,2.25,0.2,set(),[],"{4, 8, -9, -5, -3, -2}",6,0,0,2,True,False,"{3, -1, -9, -8, -6, -5, -4, -2}",8,0,0,True,True,2,[{-5}],1.0,"{-8, -4}","{3, -1, -9, -8, -6, -4, -2}","[{-8, -4}, {-8, -7, -5}]","[0, 0.9258921642731167, 0.9501637692113883, 0.9665532879818595, 0.9733434114386496, 0.9733434114386496, 0.9733434114386496, 0.9733434114386496]",True,8,5,3,2,0,4,[4],"[{4, 8, -9, -5, -3, -2}, {4, -1, -9, -8, -6, -3, -2}, {3, -1, -9, -8, -6, -5, -4, -2}, {3, -1, -9, -8, -6, -5, -4, -2}]","[{-8, -3, -2}, {-8, -4}, {-8, -4}, {-8, -4}]",8,"{({2}, {8, 2, -3}), ({-5}, {-5, -2}), ({-3}, {-5, -3}), ({2}, {2, -3, -9}), ({-2}, {4, -2}), ({-3}, {-3, -9}), ({3}, {3, 4, -2}), ({-3}, {8, -3}), ({8}, {8, -5}), ({6}, {8, 4, 6}), ({-9}, {4, -1, -9}), ({8}, {8, -9}), ({-2}, {-5, -2}), ({-5}, {-5, 4}), ({4}, {-5, 4}), ({3}, {3, -2, -5}), ({6}, {8, -5, 6}), ({-3}, {-3, -2}), ({-2}, {8, -2}), ({-2}, {-2, -9}), ({3}, {3, -2, -9}), ({8}, {8, -3}), ({-9}, {-5, -1, -9}), ({3}, {8, 3, -2}), ({4}, {4, -9}), ({6}, {8, 6, -9}), ({4}, {8, 4}), ({2}, {2, 4, -3}), ({8}, {8, -2}), ({-9}, {8, -1, -9}), ({-2}, {-3, -2}), ({-5}, {-5, -9}), ({4}, {4, -3}), ({6}, {8, -3, 6}), ({-5}, {8, -5}), ({-3}, {4, -3}), ({-9}, {-3, -1, -9}), ({2}, {2, -5, -3}), ({4}, {4, -2}), ({6}, {8, -2, 6}), ({-5}, {-5, -3}), ({3}, {-3, -2}), ({8}, {8, 4}), ({-9}, {-2, -1, -9}), ({2}, {-3, -2})}"
StandardModel,"[[-6, 9, 2], [-8, -6], [-3, -4, 8], [1, 9], [5, 7, -3], [-7, -5, -4], [2, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.2509481126220947,107,2.25,0.2,set(),[],"{-8, 1, 6}",3,0,0,0,False,,"{8, 6}",2,0,0,True,True,57,[set()],0.0,{6},"{8, 6}","[{9, -2}, {1, -2}, {6}, {1, 3}, {9, 3}]","[0, 0.9827160493827161, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618]",True,3,2,1,0,1,7,[1],"[{-8, 1, 6}, {8, 6}, {8, 6}]","[{6}, {6}, {6}]",6,"{({6}, {8, 6}), ({-8}, {-8, -6}), ({1}, {1, 9})}"
StandardModel,"[[2, 4, 1], [7, 1], [6, -5, -2], [-9, 8, 7], [3, 8], [1, -5], [-3, 2, -6], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.2601987241386895,101,2.25,0.2,set(),[],"{4, 8, -9, -5, -3, -2}",6,0,0,2,True,False,"{5, -1, -9, -8, -7, -3, -2}",7,0,0,True,True,4,[{-2}],1.0,"{5, -9}","{5, -9, -8, -7, -3, -1}","[{5, -9}]","[0, 0.93641512345679, 0.9606867283950618, 0.9625, 0.9692901234567901, 0.9692901234567901, 0.9692901234567901, 0.9692901234567901]",True,7,5,2,2,1,4,[4],"[{4, 8, -9, -5, -3, -2}, {4, 5, -1, -9, -8, -7, -3, -2}, {5, -1, -9, -8, -7, -3, -2}, {5, -1, -9, -8, -7, -3, -2}]","[{4, 5, -9}, {5, -9}, {5, -9}, {5, -9}]",8,"{({-5}, {-5, -2}), ({-3}, {-5, -3}), ({1}, {1, -5, -2}), ({3}, {8, 3, -5}), ({-2}, {4, -2}), ({-8}, {8, -3}), ({-3}, {-3, -9}), ({-9}, {-5, -9}), ({7}, {1, -5, 4, 7}), ({-3}, {8, -3}), ({8}, {8, -5}), ({3}, {8, 3, -9}), ({-8}, {-8, -3, -2}), ({8}, {8, -9}), ({-2}, {-5, -2}), ({-5}, {-5, 4}), ({-9}, {8, -9}), ({1}, {1, -5, 4}), ({4}, {-5, 4}), ({-3}, {-3, -2}), ({-9}, {-3, -9}), ({-2}, {8, -2}), ({-2}, {-2, -9}), ({7}, {1, -5, 7, -9}), ({8}, {8, -3}), ({3}, {8, 3, -2}), ({4}, {4, -9}), ({7}, {8, 1, -5, 7}), ({4}, {8, 4}), ({-8}, {-8, 4, -3}), ({-9}, {-2, -9}), ({8}, {8, -2}), ({3}, {8, -3}), ({-2}, {-3, -2}), ({-5}, {-5, -9}), ({4}, {4, -3}), ({-5}, {8, -5}), ({7}, {1, -5, -3, 7}), ({-3}, {4, -3}), ({1}, {8, 1, -5}), ({1}, {1, -5, -9}), ({7}, {1, -5, -2, 7}), ({3}, {8, 3, 4}), ({-8}, {-8, -5, -3}), ({4}, {4, -2}), ({-9}, {4, -9}), ({-5}, {-5, -3}), ({8}, {8, 4}), ({1}, {1, -5, -3}), ({-8}, {-8, -3, -9})}"
StandardModel,"[[2, 4, 1], [7, 1], [6, -5, -2], [-9, 8, 7], [3, 8], [1, -5], [-3, 2, -6], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.2601987241386895,101,2.25,0.2,set(),[],"{-8, 1, 6}",3,0,0,8,True,False,{6},1,0,0,True,True,37,[set()],0.0,{6},{6},[{6}],"[0, 0.9827160493827161, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618]",True,2,2,0,0,2,7,[],"[{-8, 1, 6}, {6}, {6}]","[{6}, {6}, {6}]",6,"{({7}, {1, -5, 7}), ({1}, {1, -5}), ({-8}, {-8, -3}), ({6}, {6})}"
StandardModel,"[[-5, 3, 4], [-1, -3], [-7, 8, 4], [-2, -5], [9, -6, -1], [-9, 8], [-3, 1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.32361523986107343,68,2.1875,0.1625,{1},[],"{4, 8, -9, -5, -3, -2}",6,0,0,4,True,False,"{1, 7, 8, -9, -6, -5, -4, -3, -2}",9,1,0,True,True,1,[set()],0.0,"{-6, -4, -2}","{1, 7, 8, -9, -6, -5, -4, -3, -2}","[{-6, -4, -2}]","[0, 0.9572407407407407, 0.971604938271605, 0.971604938271605, 0.971604938271605, 0.971604938271605]",True,5,4,1,3,0,5,[],"[{4, 8, -9, -5, -3, -2}, {1, 7, 8, -9, -6, -5, -4, -3, -2}, {1, 7, 8, -9, -6, -5, -4, -3, -2}]","[{-6, -4, -2}, {-6, -4, -2}, {-6, -4, -2}]",6,"{({-9}, {8, 1, -5, -9}), ({-9}, {8, 1, 4, -9}), ({-6}, {1, 4, 8, -9, -6}), ({-2}, {1, -5, 4, -2}), ({-6}, {1, 8, -9, -6, -3}), ({-9}, {8, 1, -3, -9}), ({-2}, {1, -5, -3, -2}), ({-2}, {1, -5, -2, -9}), ({-6}, {1, 8, -9, -6, -2}), ({-2}, {8, 1, -5, -2}), ({-6}, {1, 8, -9, -6, -5}), ({-9}, {8, 1, -2, -9})}"
StandardModel,"[[-5, 3, 4], [-1, -3], [-7, 8, 4], [-2, -5], [9, -6, -1], [-9, 8], [-3, 1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.32361523986107343,68,2.1875,0.1625,{1},[],"{-8, 1, 6}",3,1,0,20,True,False,"{-8, 1, 6, 9}",4,1,0,True,True,20,[set()],0.0,{-8},"{-8, 1, 6, 9}","[{-8}, {-7, -4}]","[0, 0.9996111111111111, 1.0, 1.0, 1.0, 1.0]",True,1,1,0,1,0,8,[],"[{-8, 1, 6}, {-8, 1, 6, 9}, {-8, 1, 6, 9}]","[{-8}, {-8}, {-8}]",6,"{({-8}, {-8, 1, 6, 9})}"
StandardModel,"[[4, 7, 1], [-2, -4], [-8, 5, 4], [-6, -3, -4], [-9, -1], [3, -9, -5], [5, -9], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.21973690966350506,130,2.25,0.2,set(),[],"{4, 8, -9, -5, -3, -2}",6,0,0,0,False,,"{5, 8, -1, -9, -4, -3, -2}",7,0,0,True,True,4,[set()],0.0,"{5, -2}","{5, 8, -1, -9, -4, -3, -2}","[{5, -2}]","[0, 0.9659174855127236, 0.9838372385991434, 0.9838372385991434, 0.9838372385991434, 0.9838372385991434]",True,5,3,2,1,0,6,[],"[{4, 8, -9, -5, -3, -2}, {5, 8, -1, -9, -4, -3, -2}, {5, 8, -1, -9, -4, -3, -2}]","[{5, -2}, {5, -2}, {5, -2}]",6,"{({5}, {5, -2, -9, -3, -1}), ({5}, {5, 8, -9, -3, -1}), ({5}, {-5, -3, -1, -9}), ({5}, {4, 5, -9, -3, -1})}"
StandardModel,"[[4, 7, 1], [-2, -4], [-8, 5, 4], [-6, -3, -4], [-9, -1], [3, -9, -5], [5, -9], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.21973690966350506,130,2.25,0.2,set(),[],"{-8, 1, 6}",3,0,0,12,True,False,{-8},1,0,0,True,True,61,[set()],0.0,{-8},{-8},[{-8}],"[0, 0.9827160493827161, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618]",True,2,2,0,0,2,7,[1],"[{-8, 1, 6}, {-8}, {-8}]","[{-8}, {-8}, {-8}]",6,"{({6}, {6}), ({-8}, {-8}), ({1}, {1, -5, 9})}"
StandardModel,"[[5, 9], [8, 9], [1, -8], [-4, -3, -9], [-7, -6, -1], [-2, -1], [3, -9, -2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.20334166650640975,144,2.1875,0.1625,set(),[],"{4, 8, -9, -5, -3, -2}",6,0,0,0,False,,"{1, -9, -8, -5, -3, -2}",6,0,0,,False,0,,,"{1, -9}","{1, 2, -9, -8, -5, -3}","[{1, -9}, {1, -4, -3}]","[0, 0.9391111111111111, 0.9687407407407408, 0.9724814814814815, 0.975462962962963, 0.975462962962963, 0.975462962962963, 0.975462962962963]",False,4,3,1,1,1,6,"[1, 2, 4]","[{4, 8, -9, -5, -3, -2}, {2, 8, -9, -5, -3}, {1, -9, -8, -5, -3, -2}, {1, -9, -8, -5, -3, -2}]","[{2, -9}, {1, -9}, {1, -9}, {1, -9}]",8,"{({-9}, {-8, -5, -2, -9}), ({-9}, {-8, -5, -3, -9}), ({-9}, {8, -5, -9}), ({-9}, {-8, -5, 4, -9})}"
StandardModel,"[[5, 9], [8, 9], [1, -8], [-4, -3, -9], [-7, -6, -1], [-2, -1], [3, -9, -2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.20334166650640975,144,2.1875,0.1625,set(),[],"{-8, 1, 6}",3,0,0,16,True,False,"{-8, 1, 2}",3,0,0,True,True,24,[set()],0.0,{1},"{-8, 1, 2}",[{1}],"[0, 0.9926975308641975, 0.9987654320987654, 0.9987654320987654, 0.9987654320987654, 0.9987654320987654]",True,2,2,0,1,1,7,[],"[{-8, 1, 6}, {-8, 1, 2}, {-8, 1, 2}]","[{1}, {1}, {1}]",6,"{({1}, {-8, 1, 2})}"
