model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
StandardModel,"[[4, 1], [-6, 4], [-5, 2, 4], [3, -5], [4, -1], [3, -1], [-5, 1, 2], [-3, -2, 4]]",6,8,0.7358395832131407,3,2.375,0.26785714285714285,"{-4, 6}","[(3, 2), (-6, 1), (-3, 1)]","{3, 4}",2,0,1,0,False,,"{3, 6, -1, -5, -4, -2}",6,2,0,True,True,1,[set()],0,{-5},"{3, 6, -1, -5, -4, -2}","[{3}, {-2}, {-5}]","[0, 0.9529444444444445, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,6,5,1,4,0,1,[1],"[{3, 4}, {3, 6, -1, -5, -4, -2}, {3, 6, -1, -5, -4, -2}]","[{-5}, {-5}, {-5}]",6,"{({-5}, {3, 6, -1, -5, -4, -2}), ({-2}, {3, 6, -1, -5, -4, -2}), ({3}, {3, 6, -1, -5, -4, -2})}"
StandardModel,"[[4, 1], [-6, 4], [-5, 2, 4], [3, -5], [4, -1], [3, -1], [-5, 1, 2], [-3, -2, 4]]",6,8,0.7358395832131407,3,2.375,0.26785714285714285,"{-4, 6}","[(3, 2), (-6, 1), (-3, 1)]","{5, 6, -4, -3, -1}",5,2,0,1,True,False,"{2, 5, 6, -4, -3}",5,2,0,True,True,2,[set()],0,{-3},"{2, 5, 6, -4, -3}","[{1}, {5}, {-3}, {2}]","[0, 0.9838472222222222, 0.9847222222222222, 0.9902777777777777, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,2,2,0,1,1,4,"[1, 3]","[{5, 6, -4, -3, -1}, {2, 5, 6, -4, -3, -1}, {2, 5, 6, -4, -3}, {2, 5, 6, -4, -3}]","[{5, -1}, {-3}, {-3}, {-3}]",8,"{({-3}, {2, 5, 6, -4, -3}), ({5}, {2, 5, 6, -4, -3}), ({1}, {1, 2, 5, 6, -4, -3}), ({2}, {2, 5, 6, -4, -3})}"
StandardModel,"[[-4, 3, -1], [-5, -6, 4], [-1, -5, -4], [2, 3], [-3, 1], [-5, 3, -2], [1, -5], [-5, -3, 2]]",6,8,0.42342806356045043,11,2.625,0.26785714285714285,{3},"[(-6, 1)]","{3, 4}",2,1,0,6,True,True,"{3, 4}",2,1,0,True,True,6,[set()],0,{4},"{3, 4}","[{1}, {-6, -5}, {4}]","[0, 1.0, 1.0, 1.0]",True,0,0,0,0,0,6,[],"[{3, 4}, {3, 4}]","[{4}, {4}]",4,"{({1}, {1, 3, 4, -5, -2}), ({4}, {3, 4})}"
StandardModel,"[[-4, 3, -1], [-5, -6, 4], [-1, -5, -4], [2, 3], [-3, 1], [-5, 3, -2], [1, -5], [-5, -3, 2]]",6,8,0.42342806356045043,11,2.625,0.26785714285714285,{3},"[(-6, 1)]","{5, 6, -4, -3, -1}",5,0,1,0,False,,"{3, 5, -6, -4, -1}",5,1,0,True,True,2,[set()],0,"{-6, -4}","{3, 5, -6, -4, -1}","[{-6, -4}]","[0, 0.9391111111111111, 0.9668888888888889, 0.9668888888888889, 0.9668888888888889, 0.9668888888888889]",True,4,2,2,0,0,4,[],"[{5, 6, -4, -3, -1}, {3, 5, -6, -4, -1}, {3, 5, -6, -4, -1}]","[{-6, -4}, {-6, -4}, {-6, -4}]",6,"{({2}, {2, 3, 5, 6, -1}), ({-4}, {3, -4, 5, -1}), ({-4}, {3, -4, -1, 6}), ({5}, {3, 5, -1, 6}), ({2}, {2, 3, 5, -4, -1}), ({2}, {-3, 2, 5, -1}), ({5}, {3, -4, 5, -1}), ({5}, {-3, 5, -1}), ({-4}, {-4, -3, -1})}"
StandardModel,"[[-2, -5, 6], [-1, -3, -5], [-6, -4, 3], [-5, -3], [5, -6, 2], [1, 4, -6], [1, 6, -5], [2, -3]]",6,8,0.42342806356045043,11,2.75,0.21428571428571427,set(),"[(1, 2), (4, 1), (-4, 1), (-1, 1)]","{3, 4}",2,0,0,1,True,False,{4},1,0,0,True,True,6,[set()],0,{4},{4},"[{-3, 5}, {-6}, {1, 5}, {2, 5}, {4}]","[0, 0.9902777777777777, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,1,1,0,0,1,5,[],"[{3, 4}, {4}, {4}]","[{4}, {4}, {4}]",6,"{({4}, {4}), ({-6}, {2, -6, 4, -3}), ({3}, {3, 5, 6, -2, -1})}"
StandardModel,"[[-2, -5, 6], [-1, -3, -5], [-6, -4, 3], [-5, -3], [5, -6, 2], [1, 4, -6], [1, 6, -5], [2, -3]]",6,8,0.42342806356045043,11,2.75,0.21428571428571427,set(),"[(1, 2), (4, 1), (-4, 1), (-1, 1)]","{5, 6, -4, -3, -1}",5,0,0,0,False,,"{3, 5, 6, -2, -1}",5,0,0,True,True,2,[set()],0,{3},"{3, 5, 6, -2, -1}","[{5, 6}, {-4, 5}, {5, -1}, {3}, {5, -2}]","[0, 0.9682916666666667, 0.9819444444444444, 0.9874999999999999, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,4,3,1,1,1,3,[1],"[{5, 6, -4, -3, -1}, {3, 5, 6, -1, -4, -2}, {3, 5, 6, -2, -1}, {3, 5, 6, -2, -1}]","[{-4, 5}, {3}, {3}, {3}]",8,"{({3}, {3, 5, 6, -2, -1})}"
StandardModel,"[[2, 1], [4, -1], [3, -2], [-6, 5, 1], [4, -3], [3, -4, 5], [-6, -5, 2], [-1, -6]]",6,8,0.4716791664262813,9,2.375,0.26785714285714285,"{1, -4}","[(4, 2), (-4, 1)]","{3, 4}",2,0,1,0,False,,"{1, 3, 5, -4, -2}",5,2,0,True,True,2,[set()],0,{3},"{1, 3, 5, -4, -2}",[{3}],"[0, 0.9649027777777778, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,5,4,1,3,0,2,[],"[{3, 4}, {1, 3, 5, -4, -2}, {1, 3, 5, -4, -2}]","[{3}, {3}, {3}]",6,"{({3}, {1, 3, 5, -4, -2})}"
StandardModel,"[[2, 1], [4, -1], [3, -2], [-6, 5, 1], [4, -3], [3, -4, 5], [-6, -5, 2], [-1, -6]]",6,8,0.4716791664262813,9,2.375,0.26785714285714285,"{1, -4}","[(4, 2), (-4, 1)]","{5, 6, -4, -3, -1}",5,1,1,0,False,,"{1, 6, -5, -4, -3}",5,2,0,True,True,2,[{6}],1,{-5},"{1, -5, -4, -3}",[{-5}],"[0, 0.9391111111111111, 0.9668888888888889, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",True,4,2,2,0,0,4,[],"[{5, 6, -4, -3, -1}, {1, 6, -5, -4, -3}, {1, 6, -5, -4, -3}]","[{-5, 6}, {-5}, {-5}]",6,"{({2}, {1, 2, 5, -4, -3}), ({-3}, {1, -4, -3, 6}), ({5}, {1, -3, -4, 5}), ({-5}, {1, -3, -4, 5}), ({2}, {2, -4, -3, -1}), ({3}, {1, 5, -4, -3, -2}), ({2}, {1, 2, 6, -4, -3}), ({6}, {1, -4, -3, 6}), ({5}, {-4, 5, -1}), ({-5}, {-5, -4, -3, -1}), ({6}, {-4, -1, 6}), ({5}, {1, -4, 5, 6}), ({-5}, {1, 6, -5, -4, -3}), ({6}, {1, -4, 5, 6}), ({-3}, {1, -3, -4, 5}), ({-3}, {-4, -3, -1}), ({3}, {3, 5, -1, -4, -2}), ({3}, {1, 3, 5, 6, -4, -2})}"
StandardModel,"[[1, -2], [3, -2], [-6, 3], [-5, 1], [-5, 1, -3], [4, -5], [-3, 4], [-2, 6, -3]]",6,8,0.7358395832131407,3,2.25,0.21428571428571427,{-2},"[(6, 1), (-6, 1)]","{3, 4}",2,0,0,0,False,,"{3, 5, -6, -4, -2}",5,1,0,True,True,2,[set()],0,{-4},"{3, 5, -6, -4, -2}","[{-1}, {-6}, {5}, {3}, {-4}]","[0, 0.9649027777777778, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,5,4,1,3,0,2,[1],"[{3, 4}, {3, 5, -6, -4, -2}, {3, 5, -6, -4, -2}]","[{-4}, {-4}, {-4}]",6,"{({-6}, {3, 5, -6, -4, -2}), ({3}, {3, 5, -6, -4, -2}), ({-3}, {1, 4, 6, -5, -3, -2}), ({-5}, {1, 4, 6, -5, -3, -2}), ({6}, {1, 4, 6, -5, -3, -2}), ({-1}, {3, 5, -1, -6, -4, -2}), ({4}, {1, 4, 6, -5, -3, -2}), ({5}, {3, 5, -6, -4, -2}), ({-4}, {3, 5, -6, -4, -2})}"
StandardModel,"[[1, -2], [3, -2], [-6, 3], [-5, 1], [-5, 1, -3], [4, -5], [-3, 4], [-2, 6, -3]]",6,8,0.7358395832131407,3,2.25,0.21428571428571427,{-2},"[(6, 1), (-6, 1)]","{5, 6, -4, -3, -1}",5,0,0,0,False,,"{3, 5, -1, -6, -4, -2}",6,1,0,True,True,1,[set()],0,{-1},"{3, 5, -1, -6, -4, -2}",[{-1}],"[0, 0.9485694444444445, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,5,3,2,1,0,3,[],"[{5, 6, -4, -3, -1}, {3, 5, -1, -6, -4, -2}, {3, 5, -1, -6, -4, -2}]","[{-1}, {-1}, {-1}]",6,"{({-1}, {3, 5, -1, -6, -4, -2})}"
StandardModel,"[[-3, -1, -2], [-5, 4, 3], [-1, 2, 5], [-6, 3], [-3, -6], [-6, 2], [-5, 1], [4, 2]]",6,8,0.3488515673985802,15,2.375,0.26785714285714285,{3},"[(4, 2)]","{3, 4}",2,1,0,6,True,False,"{2, 3, 4}",3,1,0,True,True,6,[set()],0,{4},"{2, 3, 4}",[{4}],"[0, 0.999125, 1.0, 1.0, 1.0, 1.0]",True,1,1,0,1,0,5,[],"[{3, 4}, {2, 3, 4}, {2, 3, 4}]","[{4}, {4}, {4}]",6,"{({4}, {2, 3, 4})}"
StandardModel,"[[-3, -1, -2], [-5, 4, 3], [-1, 2, 5], [-6, 3], [-3, -6], [-6, 2], [-5, 1], [4, 2]]",6,8,0.3488515673985802,15,2.375,0.26785714285714285,{3},"[(4, 2)]","{5, 6, -4, -3, -1}",5,0,1,0,False,,"{3, 5, 6, -1, -4, -2}",6,1,0,True,True,1,[set()],0,"{-1, -2}","{3, 5, 6, -1, -4, -2}","[{-1, -2}]","[0, 0.9682916666666667, 0.9819444444444444, 0.9819444444444444, 0.9819444444444444, 0.9819444444444444]",True,3,2,1,1,0,4,[],"[{5, 6, -4, -3, -1}, {3, 5, 6, -1, -4, -2}, {3, 5, 6, -1, -4, -2}]","[{-1, -2}, {-1, -2}, {-1, -2}]",6,"{({-1, -2}, {3, 5, 6, -1, -4, -2})}"
StandardModel,"[[5, -6], [-3, 4, 6], [2, 1, -5], [-5, -3], [-4, -5, -6], [2, 5, -4], [2, -4, 6], [5, -1]]",6,8,0.4716791664262813,9,2.625,0.26785714285714285,set(),"[(2, 3)]","{3, 4}",2,0,0,1,True,False,{4},1,0,0,True,True,5,[set()],0,{4},{4},"[{4}, {2}, {6}]","[0, 0.9902777777777777, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,1,1,0,0,1,5,[],"[{3, 4}, {4}, {4}]","[{4}, {4}, {4}]",6,"{({4}, {4}), ({2}, {2, 4, 6, -5, -3}), ({3}, {3, 5, -1, -6, -2}), ({6}, {-5, 4, -3, 6})}"
StandardModel,"[[5, -6], [-3, 4, 6], [2, 1, -5], [-5, -3], [-4, -5, -6], [2, 5, -4], [2, -4, 6], [5, -1]]",6,8,0.4716791664262813,9,2.625,0.26785714285714285,set(),"[(2, 3)]","{5, 6, -4, -3, -1}",5,0,0,0,False,,"{5, -1, -6, -4, -3, -2}",6,0,0,True,True,1,[set()],0,"{-3, 5}","{5, -1, -6, -4, -3, -2}","[{-3, 5}]","[0, 0.9682916666666667, 0.9819444444444444, 0.9819444444444444, 0.9819444444444444, 0.9819444444444444]",True,3,2,1,1,0,4,[],"[{5, 6, -4, -3, -1}, {5, -1, -6, -4, -3, -2}, {5, -1, -6, -4, -3, -2}]","[{-3, 5}, {-3, 5}, {-3, 5}]",6,"{({-3, 5}, {5, -1, -6, -4, -3, -2})}"
StandardModel,"[[5, -4], [-1, -6, -5], [-2, 5], [-6, -2, 4], [4, -5, -1], [-3, 6, -4], [2, 5], [-4, 1, 6]]",6,8,0.5,8,2.625,0.26785714285714285,"{-4, 5, 6}","[(2, 1), (-2, 2), (-3, 1)]","{3, 4}",2,0,1,0,False,,"{3, -4, 5, 6}",4,3,0,True,True,4,[set()],0,{3},"{3, -4, 5, 6}",[{3}],"[0, 0.9751111111111112, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,4,3,1,2,0,3,[],"[{3, 4}, {3, -4, 5, 6}, {3, -4, 5, 6}]","[{3}, {3}, {3}]",6,"{({3}, {3, -4, 5, 6})}"
StandardModel,"[[5, -4], [-1, -6, -5], [-2, 5], [-6, -2, 4], [4, -5, -1], [-3, 6, -4], [2, 5], [-4, 1, 6]]",6,8,0.5,8,2.625,0.26785714285714285,"{-4, 5, 6}","[(2, 1), (-2, 2), (-3, 1)]","{5, 6, -4, -3, -1}",5,3,0,2,True,True,"{-4, 5, -1, 6}",4,3,0,True,True,4,[set()],0,{-1},"{-4, 5, -1, 6}",[{-1}],"[0, 0.9902777777777777, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,1,1,0,0,1,5,[1],"[{5, 6, -4, -3, -1}, {-4, 5, -1, 6}, {-4, 5, -1, 6}]","[{-1}, {-1}, {-1}]",6,"{({-1}, {-4, 5, -1, 6}), ({-3}, {-3, -4, 5, 6})}"
StandardModel,"[[-6, -3, -4], [-5, 4], [1, 2, 6], [-3, -6], [-1, -6], [5, -1, -4], [-4, -1], [5, 2, -1]]",6,8,0.42342806356045043,11,2.5,0.2857142857142857,set(),"[(2, 2), (5, 2), (-5, 1), (-3, 2)]","{3, 4}",2,0,0,7,True,True,"{3, 4}",2,0,0,True,True,7,[set()],0,{4},"{3, 4}","[{4}, {1}, {-5}, {6}]","[0, 1.0, 1.0, 1.0]",True,0,0,0,0,0,6,[],"[{3, 4}, {3, 4}]","[{4}, {4}]",4,"{({1}, {1, 3, 4}), ({-5}, {3, 4, -5}), ({6}, {1, 3, 4, 6}), ({4}, {3, 4})}"
StandardModel,"[[-6, -3, -4], [-5, 4], [1, 2, 6], [-3, -6], [-1, -6], [5, -1, -4], [-4, -1], [5, 2, -1]]",6,8,0.42342806356045043,11,2.5,0.2857142857142857,set(),"[(2, 2), (5, 2), (-5, 1), (-3, 2)]","{5, 6, -4, -3, -1}",5,0,0,0,False,,"{5, -6, -4, -3, -1}",5,0,0,True,True,2,[set()],0,{-3},"{5, -6, -4, -3, -1}",[{-3}],"[0, 0.9902777777777777, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,2,1,1,0,0,5,[],"[{5, 6, -4, -3, -1}, {5, -6, -4, -3, -1}, {5, -6, -4, -3, -1}]","[{-3}, {-3}, {-3}]",6,"{({-3}, {5, -6, -4, -3, -1})}"
StandardModel,"[[-2, -6], [-5, 2], [-4, 1, -2], [3, 5], [-2, 6], [4, 5], [2, -1], [3, 4]]",6,8,0.5,8,2.125,0.125,"{2, -1}","[(3, 2)]","{3, 4}",2,0,0,2,True,False,"{2, 3, 4, 5, -1}",5,2,0,True,True,2,[set()],0,{3},"{2, 3, 4, 5, -1}",[{3}],"[0, 0.992125, 1.0, 1.0, 1.0, 1.0]",True,3,3,0,3,0,3,[],"[{3, 4}, {2, 3, 4, 5, -1}, {2, 3, 4, 5, -1}]","[{3}, {3}, {3}]",6,"{({3}, {2, 3, 4, 5, -1})}"
StandardModel,"[[-2, -6], [-5, 2], [-4, 1, -2], [3, 5], [-2, 6], [4, 5], [2, -1], [3, 4]]",6,8,0.5,8,2.125,0.125,"{2, -1}","[(3, 2)]","{5, 6, -4, -3, -1}",5,1,0,1,True,False,"{2, -5, -4, -3, -1}",5,2,0,True,True,2,[set()],0,{-5},"{2, -5, -4, -3, -1}",[{-5}],"[0, 0.9682916666666667, 0.9819444444444444, 0.9874999999999999, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,4,3,1,1,1,3,[],"[{5, 6, -4, -3, -1}, {2, 6, -5, -4, -3, -1}, {2, -5, -4, -3, -1}, {2, -5, -4, -3, -1}]","[{-5, 6}, {-5}, {-5}, {-5}]",8,"{({-5}, {2, -5, -4, -3, -1}), ({-4}, {2, -4, -3, -1})}"
StandardModel,"[[-5, -4, -6], [-1, 5], [3, 2, -1], [-5, -6], [6, -1, -5], [3, 5, -6], [2, 4], [-5, -1]]",6,8,0.36544084632373264,14,2.5,0.2857142857142857,{5},"[(2, 2), (3, 2)]","{3, 4}",2,0,0,3,True,False,"{4, 5}",2,1,0,True,True,9,[set()],0,{4},"{4, 5}","[{2}, {4}]","[0, 0.9835694444444444, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,2,2,0,1,1,4,[],"[{3, 4}, {4, 5}, {4, 5}]","[{4}, {4}, {4}]",6,"{({2}, {2, 4, 5}), ({4}, {4, 5}), ({3}, {-6, 3, 5})}"
