model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
LocalStandardReflectiveEquilibrium,"[[4, -5], [-6, -4], [1, 3, 4], [-2, 3], [3, -4, -2], [-4, -6, -1], [-3, 2, 1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.42342806356045043,11,2.3076923076923075,0.23076923076923075,set(),[],"{1, 2, 3, -4}",4,0,0,0,False,,"{3, -1, -6, -4, -2}",5,0,0,True,True,2,[set()],0.0,{-6},"{3, -1, -6, -4, -2}",[{-6}],"[0, 0.29444444444444445, 0.35972222222222217, 0.9723333333333334, 0.985388888888889, 0.985388888888889, 0.988013888888889, 0.988013888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,5,3,2,1,0,3,"[2, 6]","[{1, 2, 3, -4}, {1, 3, -4}, {3, -4, -1}, {-6, 3, -4, -1}, {3, -1, -6, -4, -2}, {3, -1, -6, -4, -2}]","[set(), {-6}, {-6}, {-6}, {-6}, {-6}]",12,
LocalStandardReflectiveEquilibrium,"[[4, -5], [-6, -4], [1, 3, 4], [-2, 3], [3, -4, -2], [-4, -6, -1], [-3, 2, 1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.42342806356045043,11,2.3076923076923075,0.23076923076923075,set(),[],"{2, -4, -3, 6}",4,0,0,2,True,False,"{1, 2, -3, 6}",4,0,0,True,True,3,[set()],0.0,{-3},"{1, 2, -3, 6}","[{2, -4}, {1, 5}, {-3}, {2, 5}, {1, -4}]","[0, 0.29444444444444445, 0.35972222222222217, 0.9723333333333334, 0.985388888888889, 0.985388888888889, 0.9963472222222223, 0.9963472222222223, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,2,2,0,1,1,4,[2],"[{2, -4, -3, 6}, {-4, -3, 6}, {-3, 6}, {2, -3, 6}, {1, 2, -3, 6}, {1, 2, -3, 6}]","[set(), {-3}, {-3}, {-3}, {-3}, {-3}]",12,
LocalStandardReflectiveEquilibrium,"[[3, 2], [5, 3], [4, 2], [1, 6, 5], [-1, 4], [5, 6], [-6, 3, -1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.446345317518773,10,2.1538461538461537,0.14102564102564102,set(),[],"{1, 2, 3, -4}",4,0,0,1,True,False,"{2, 3}",2,0,0,True,True,5,[set()],0.0,{3},"{2, 3}","[{1, 6}, {-4, 6}, {3}, {5}]","[0, 0.29444444444444445, 0.35972222222222217, 0.9874999999999999, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,2,2,0,0,2,4,[2],"[{1, 2, 3, -4}, {2, 3, -4}, {2, 3}, {2, 3}]","[set(), {3}, {3}, {3}]",8,
LocalStandardReflectiveEquilibrium,"[[3, 2], [5, 3], [4, 2], [1, 6, 5], [-1, 4], [5, 6], [-6, 3, -1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.446345317518773,10,2.1538461538461537,0.14102564102564102,set(),[],"{2, -4, -3, 6}",4,0,0,0,False,,"{1, -6, -5, -4, -3, -2}",6,0,0,True,True,1,[set()],0.0,{-2},"{1, -6, -5, -4, -3, -2}",[{-2}],"[0, 0.29444444444444445, 0.35972222222222217, 0.962125, 0.981013888888889, 0.981013888888889, 0.985388888888889, 0.985388888888889, 0.988013888888889, 0.988013888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,6,4,2,2,0,2,"[2, 6, 8]","[{2, -4, -3, 6}, {-4, -3, 6}, {-6, -4, -3}, {-6, -4, -3, -2}, {-6, -5, -4, -3, -2}, {1, -6, -5, -4, -3, -2}, {1, -6, -5, -4, -3, -2}]","[set(), {-2}, {-2}, {-2}, {-2}, {-2}, {-2}]",14,
LocalStandardReflectiveEquilibrium,"[[-1, -6], [5, 3, -6], [-2, -3], [2, -1, -3], [-4, 1], [4, -6], [-2, 1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2920120810927358,19,2.1538461538461537,0.14102564102564102,set(),[],"{1, 2, 3, -4}",4,0,0,3,True,True,"{1, -4}",2,0,0,True,True,11,[set()],0.0,{-4},"{1, -4}","[{-4}, {6}]","[0, 0.29444444444444445, 0.35972222222222217, 0.9874999999999999, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,2,2,0,0,2,4,[2],"[{1, 2, 3, -4}, {1, 3, -4}, {1, -4}, {1, -4}]","[set(), {-4}, {-4}, {-4}]",8,
LocalStandardReflectiveEquilibrium,"[[-1, -6], [5, 3, -6], [-2, -3], [2, -1, -3], [-4, 1], [4, -6], [-2, 1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2920120810927358,19,2.1538461538461537,0.14102564102564102,set(),[],"{2, -4, -3, 6}",4,0,0,2,True,False,"{2, 4, -6, -3, -1}",5,0,0,True,True,2,[set()],0.0,{-1},"{2, 4, -6, -3, -1}",[{-1}],"[0, 0.29444444444444445, 0.35972222222222217, 0.9723333333333334, 0.985388888888889, 0.985388888888889, 0.988013888888889, 0.988013888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,5,3,2,1,0,3,"[2, 6]","[{2, -4, -3, 6}, {2, -4, -3}, {2, 4, -3}, {2, -6, 4, -3}, {2, 4, -6, -3, -1}, {2, 4, -6, -3, -1}]","[set(), {-1}, {-1}, {-1}, {-1}, {-1}]",12,
LocalStandardReflectiveEquilibrium,"[[1, 3, 5], [2, -4, -1], [6, 2], [4, 2], [1, 5], [5, 6, 1], [-5, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.31875619312494347,17,2.230769230769231,0.19230769230769232,set(),[],"{1, 2, 3, -4}",4,0,0,0,False,,"{1, -4}",2,0,0,False,True,2,[{1}],1.0,{-4},{-4},"[{-4}, {-2}]","[0, 0.29444444444444445, 0.35972222222222217, 0.9583333333333334, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",True,2,2,0,0,2,4,"[2, 3, 4]","[{1, 2, 3, -4}, {1, 3, -4}, {1, -4}, {1, -4}]","[set(), {-4}, {-4}, {-4}]",8,
LocalStandardReflectiveEquilibrium,"[[1, 3, 5], [2, -4, -1], [6, 2], [4, 2], [1, 5], [5, 6, 1], [-5, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.31875619312494347,17,2.230769230769231,0.19230769230769232,set(),[],"{2, -4, -3, 6}",4,0,0,0,False,,"{-4, -3}",2,0,0,False,True,3,[{-3}],1.0,{-4},{-4},"[{-4}, {-2}]","[0, 0.29444444444444445, 0.35972222222222217, 0.9583333333333334, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",True,2,2,0,0,2,4,"[2, 4]","[{2, -4, -3, 6}, {-4, -3, 6}, {-4, -3}, {-4, -3}]","[set(), {-4}, {-4}, {-4}]",8,
LocalStandardReflectiveEquilibrium,"[[5, 6], [-1, -3, 6], [4, -2, 1], [-6, -1], [6, 5], [-2, -4, 1], [-6, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.38326004697648464,13,2.230769230769231,0.19230769230769232,set(),[],"{1, 2, 3, -4}",4,0,0,1,True,False,"{2, 3, -6, -5, -4, -1}",6,0,0,True,True,1,[set()],0.0,{-6},"{2, 3, -6, -5, -4, -1}","[{-6}, {-5}]","[0, 0.29444444444444445, 0.35972222222222217, 0.9893472222222223, 0.9937222222222223, 0.9937222222222223, 0.9963472222222223, 0.9963472222222223, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,4,3,1,2,0,3,"[2, 3, 4, 6]","[{1, 2, 3, -4}, {2, 3, -4}, {2, 3, -4, -1}, {2, 3, -6, -4, -1}, {2, 3, -6, -5, -4, -1}, {2, 3, -6, -5, -4, -1}]","[set(), {-6}, {-6}, {-6}, {-6}, {-6}]",12,
LocalStandardReflectiveEquilibrium,"[[5, 6], [-1, -3, 6], [4, -2, 1], [-6, -1], [6, 5], [-2, -4, 1], [-6, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.38326004697648464,13,2.230769230769231,0.19230769230769232,set(),[],"{2, -4, -3, 6}",4,0,0,2,True,False,"{-3, 5, 6}",3,0,0,True,True,6,[set()],0.0,{-3},"{-3, 5, 6}",[{-3}],"[0, 0.29444444444444445, 0.35972222222222217, 0.9807916666666666, 0.988013888888889, 0.988013888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,3,3,0,1,2,3,[2],"[{2, -4, -3, 6}, {-4, -3, 6}, {-3, 6}, {-3, 5, 6}, {-3, 5, 6}]","[set(), {-3}, {-3}, {-3}, {-3}]",10,
LocalStandardReflectiveEquilibrium,"[[-6, 4, -3], [1, -3], [-2, -6], [-6, 2, 4], [5, 3], [-5, 2], [3, 4, -5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.446345317518773,10,2.230769230769231,0.19230769230769232,set(),[],"{1, 2, 3, -4}",4,0,0,0,False,,"{3, -4, 5, -1}",4,0,0,True,True,2,[set()],0.0,{5},"{3, -4, 5, -1}","[{5}, {-2}, {-6, 3}, {-6, -4}]","[0, 0.29444444444444445, 0.35972222222222217, 0.9807916666666666, 0.988013888888889, 0.988013888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,4,3,1,1,1,3,[2],"[{1, 2, 3, -4}, {1, 3, -4}, {3, -4, -1}, {3, -4, 5, -1}, {3, -4, 5, -1}]","[set(), {5}, {5}, {5}, {5}]",10,
LocalStandardReflectiveEquilibrium,"[[-6, 4, -3], [1, -3], [-2, -6], [-6, 2, 4], [5, 3], [-5, 2], [3, 4, -5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.446345317518773,10,2.230769230769231,0.19230769230769232,set(),[],"{2, -4, -3, 6}",4,0,0,2,True,False,"{2, 6}",2,0,0,True,True,7,[set()],0.0,{6},"{2, 6}","[{2, 3}, {2, -4}, {2, 5}, {-4, -3}, {1, -4}, {6}, {3, 4}, {3, -5}, {-5, -4}]","[0, 0.29444444444444445, 0.35972222222222217, 0.9874999999999999, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,2,2,0,0,2,4,[2],"[{2, -4, -3, 6}, {2, -3, 6}, {2, 6}, {2, 6}]","[set(), {6}, {6}, {6}]",8,
LocalStandardReflectiveEquilibrium,"[[2, 5, 3], [-1, -5], [-4, -5], [-6, 4], [-6, -4], [3, 4], [1, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.446345317518773,10,2.076923076923077,0.07692307692307693,{6},[],"{1, 2, 3, -4}",4,0,0,0,False,,"{1, 2, 6}",3,1,0,True,True,4,[set()],0.0,{1},"{1, 2, 6}","[{1}, {5}]","[0, 0.2702361111111111, 0.3413472222222222, 0.9807916666666666, 0.988013888888889, 0.988013888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,3,3,0,1,2,3,[2],"[{1, 2, 3, -4}, {1, 2, -4}, {1, 2}, {1, 2, 6}, {1, 2, 6}]","[set(), {1}, {1}, {1}, {1}]",10,
LocalStandardReflectiveEquilibrium,"[[2, 5, 3], [-1, -5], [-4, -5], [-6, 4], [-6, -4], [3, 4], [1, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.446345317518773,10,2.076923076923077,0.07692307692307693,{6},[],"{2, -4, -3, 6}",4,1,0,2,True,False,"{-5, -4, -3, 6}",4,1,0,True,True,3,[set()],0.0,{-4},"{-5, -4, -3, 6}",[{-4}],"[0, 0.36249999999999993, 0.40833333333333327, 0.9963472222222223, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,2,2,0,1,1,4,[2],"[{2, -4, -3, 6}, {-4, -3, 6}, {-5, -4, -3, 6}, {-5, -4, -3, 6}]","[set(), {-4}, {-4}, {-4}]",8,
LocalStandardReflectiveEquilibrium,"[[1, -3], [-5, -6, -1], [2, -3], [-5, 3, 6], [-4, 6], [-2, -3], [1, -2, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.31875619312494347,17,2.230769230769231,0.19230769230769232,{-3},[],"{1, 2, 3, -4}",4,0,1,0,False,,"{1, 2, -3}",3,1,0,True,True,5,[set()],0.0,{1},"{1, 2, -3}",[{1}],"[0, 0.29444444444444445, 0.35972222222222217, 0.9874999999999999, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,3,2,1,0,1,4,[2],"[{1, 2, 3, -4}, {1, 2, -4, -3}, {1, 2, -3}, {1, 2, -3}]","[set(), {1}, {1}, {1}]",8,
LocalStandardReflectiveEquilibrium,"[[1, -3], [-5, -6, -1], [2, -3], [-5, 3, 6], [-4, 6], [-2, -3], [1, -2, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.31875619312494347,17,2.230769230769231,0.19230769230769232,{-3},[],"{2, -4, -3, 6}",4,1,0,4,True,True,"{2, -3}",2,1,0,True,True,11,[set()],0.0,{2},"{2, -3}","[{1}, {2}]","[0, 0.36249999999999993, 0.40833333333333327, 0.9874999999999999, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,2,2,0,0,2,4,[2],"[{2, -4, -3, 6}, {2, -4, -3}, {2, -3}, {2, -3}]","[set(), {2}, {2}, {2}]",8,
LocalStandardReflectiveEquilibrium,"[[3, 4], [-6, 4], [5, 3], [-1, 3], [2, -3], [6, 3], [-1, 6, 5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.4716791664262813,9,2.076923076923077,0.07692307692307693,{4},[],"{1, 2, 3, -4}",4,0,1,0,False,,"{1, -4}",2,0,1,,False,0,,,{1},"{1, 4}","[{-5, 6}, {1}, {-3}, {2}]","[0, 0.29444444444444445, 0.35972222222222217, 0.9583333333333334, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",False,2,2,0,0,2,4,"[2, 4]","[{1, 2, 3, -4}, {1, 3, -4}, {1, -4}, {1, -4}]","[set(), {1}, {1}, {1}]",8,
LocalStandardReflectiveEquilibrium,"[[3, 4], [-6, 4], [5, 3], [-1, 3], [2, -3], [6, 3], [-1, 6, 5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.4716791664262813,9,2.076923076923077,0.07692307692307693,{4},[],"{2, -4, -3, 6}",4,0,1,0,False,,"{1, 2, 4, -6, -5, -3}",6,1,0,True,True,1,[set()],0.0,{2},"{1, 2, 4, -6, -5, -3}",[{2}],"[0, 0.29444444444444445, 0.35972222222222217, 0.9723333333333334, 0.985388888888889, 0.985388888888889, 0.988013888888889, 0.988013888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,6,4,2,2,0,2,"[2, 6]","[{2, -4, -3, 6}, {2, 4, -3, 6}, {2, -6, 4, -3}, {1, 2, 4, -6, -3}, {1, 2, 4, -6, -5, -3}, {1, 2, 4, -6, -5, -3}]","[set(), {2}, {2}, {2}, {2}, {2}]",12,
LocalStandardReflectiveEquilibrium,"[[-3, 5], [-2, 5], [1, -6, 3], [4, 3], [-2, 3], [1, 2, 3], [5, -2, 4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2567613968937838,22,2.230769230769231,0.19230769230769232,set(),[],"{1, 2, 3, -4}",4,0,0,4,True,True,"{2, -4}",2,0,0,True,True,10,[set()],0.0,{-4},"{2, -4}","[{-3}, {-4}]","[0, 0.29444444444444445, 0.35972222222222217, 0.9874999999999999, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,2,2,0,0,2,4,[2],"[{1, 2, 3, -4}, {1, 2, -4}, {2, -4}, {2, -4}]","[set(), {-4}, {-4}, {-4}]",8,
LocalStandardReflectiveEquilibrium,"[[-3, 5], [-2, 5], [1, -6, 3], [4, 3], [-2, 3], [1, 2, 3], [5, -2, 4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2567613968937838,22,2.230769230769231,0.19230769230769232,set(),[],"{2, -4, -3, 6}",4,0,0,1,True,False,"{2, 5, -4, -3, -1}",5,0,0,True,True,2,[set()],0.0,{-3},"{2, 5, -4, -3, -1}",[{-3}],"[0, 0.29444444444444445, 0.35972222222222217, 0.962125, 0.981013888888889, 0.981013888888889, 0.9937222222222223, 0.9937222222222223, 0.9963472222222223, 0.9963472222222223, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,3,3,0,2,1,3,"[2, 8]","[{2, -4, -3, 6}, {2, -3, 6}, {2, -3}, {2, -4, -3}, {2, -4, -3, -1}, {2, 5, -4, -3, -1}, {2, 5, -4, -3, -1}]","[set(), {-3}, {-3}, {-3}, {-3}, {-3}, {-3}]",14,
LocalStandardReflectiveEquilibrium,"[[6, 2], [-1, -4, 6], [-3, 6], [6, -5, -1], [2, 5], [5, 4, 3], [-4, 2, -5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.446345317518773,10,2.3076923076923075,0.23076923076923075,{3},[],"{1, 2, 3, -4}",4,1,0,0,False,,"{1, 3}",2,1,0,True,True,6,[set()],0.0,{1},"{1, 3}","[{1}, {-4}]","[0, 0.36249999999999993, 0.40833333333333327, 0.9874999999999999, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,2,2,0,0,2,4,[2],"[{1, 2, 3, -4}, {1, 2, 3}, {1, 3}, {1, 3}]","[set(), {1}, {1}, {1}]",8,
LocalStandardReflectiveEquilibrium,"[[6, 2], [-1, -4, 6], [-3, 6], [6, -5, -1], [2, 5], [5, 4, 3], [-4, 2, -5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.446345317518773,10,2.3076923076923075,0.23076923076923075,{3},[],"{2, -4, -3, 6}",4,0,1,0,False,,"{2, 3, 4, 5, 6}",5,1,0,True,True,2,[set()],0.0,{6},"{2, 3, 4, 5, 6}",[{6}],"[0, 0.29444444444444445, 0.35972222222222217, 0.9315000000000001, 0.9640000000000001, 0.9640000000000001, 0.9807916666666666, 0.9807916666666666, 0.988013888888889, 0.988013888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,5,3,2,1,0,3,"[2, 4]","[{2, -4, -3, 6}, {-4, -3, 6}, {4, -3, 6}, {2, 4, -3, 6}, {2, 3, 4, 6}, {2, 3, 4, 5, 6}, {2, 3, 4, 5, 6}]","[set(), {6}, {6}, {6}, {6}, {6}, {6}]",14,
LocalStandardReflectiveEquilibrium,"[[5, 1], [-3, -2, -5], [-4, 6, -3], [5, -6], [-4, -3, -5], [-4, -2, 5], [4, 1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2920120810927358,19,2.3076923076923075,0.23076923076923075,set(),[],"{1, 2, 3, -4}",4,0,0,2,True,False,"{1, 2}",2,0,0,True,True,10,[{2}],1.0,{1},{1},"[{1}, {-2}, {3, 6}, {5}, {4}]","[0, 0.29444444444444445, 0.35972222222222217, 0.9583333333333334, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",True,2,2,0,0,2,4,"[2, 3, 4]","[{1, 2, 3, -4}, {1, 2, 3}, {1, 2}, {1, 2}]","[set(), {1}, {1}, {1}]",8,
LocalStandardReflectiveEquilibrium,"[[5, 1], [-3, -2, -5], [-4, 6, -3], [5, -6], [-4, -3, -5], [-4, -2, 5], [4, 1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2920120810927358,19,2.3076923076923075,0.23076923076923075,set(),[],"{2, -4, -3, 6}",4,0,0,2,True,False,"{2, -5, -4, -1}",4,0,0,True,True,3,[set()],0.0,{-1},"{2, -5, -4, -1}",[{-1}],"[0, 0.29444444444444445, 0.35972222222222217, 0.9723333333333334, 0.985388888888889, 0.985388888888889, 0.988013888888889, 0.988013888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,4,4,0,2,2,2,"[2, 6]","[{2, -4, -3, 6}, {2, -4, 6}, {2, -4}, {2, -4, -1}, {2, -5, -4, -1}, {2, -5, -4, -1}]","[set(), {-1}, {-1}, {-1}, {-1}, {-1}]",12,
LocalStandardReflectiveEquilibrium,"[[1, 2, -4], [3, 1], [-5, 6, -3], [2, -3], [5, -4, 1], [4, -3], [6, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2679470962035399,21,2.230769230769231,0.19230769230769232,set(),[],"{1, 2, 3, -4}",4,0,0,0,False,,"{1, 3, -4, -2}",4,0,0,True,True,3,[set()],0.0,{3},"{1, 3, -4, -2}",[{3}],"[0, 0.29444444444444445, 0.35972222222222217, 0.9807916666666666, 0.9902777777777777, 0.9902777777777777, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,2,1,1,0,0,5,[2],"[{1, 2, 3, -4}, {1, 2, -4}, {1, 2, 3, -4}, {1, 3, -4, -2}, {1, 3, -4, -2}]","[set(), {3}, {3}, {3}, {3}]",10,
LocalStandardReflectiveEquilibrium,"[[1, 2, -4], [3, 1], [-5, 6, -3], [2, -3], [5, -4, 1], [4, -3], [6, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2679470962035399,21,2.230769230769231,0.19230769230769232,set(),[],"{2, -4, -3, 6}",4,0,0,3,True,True,"{-4, 6}",2,0,0,True,True,7,[set()],0.0,{6},"{-4, 6}",[{6}],"[0, 0.29444444444444445, 0.35972222222222217, 0.9874999999999999, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,2,2,0,0,2,4,[2],"[{2, -4, -3, 6}, {-4, -3, 6}, {-4, 6}, {-4, 6}]","[set(), {6}, {6}, {6}]",8,
LocalStandardReflectiveEquilibrium,"[[1, -5], [2, 6, -5], [-3, 2], [1, -5, -6], [-4, -6], [-3, 5, -2], [-5, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.3488515673985802,15,2.230769230769231,0.19230769230769232,set(),[],"{1, 2, 3, -4}",4,0,0,1,True,False,"{1, 3}",2,0,0,False,True,2,[{1}],1.0,{3},{3},"[{3}, {5}, {-2}]","[0, 0.29444444444444445, 0.35972222222222217, 0.9583333333333334, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",True,2,2,0,0,2,4,"[2, 4]","[{1, 2, 3, -4}, {1, 3, -4}, {1, 3}, {1, 3}]","[set(), {3}, {3}, {3}]",8,
LocalStandardReflectiveEquilibrium,"[[1, -5], [2, 6, -5], [-3, 2], [1, -5, -6], [-4, -6], [-3, 5, -2], [-5, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.3488515673985802,15,2.230769230769231,0.19230769230769232,set(),[],"{2, -4, -3, 6}",4,0,0,0,False,,"{-4, 6}",2,0,0,,False,0,,,{-4},"{-6, -4}",[{-4}],"[0, 0.29444444444444445, 0.35972222222222217, 0.9583333333333334, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",False,2,2,0,0,2,4,"[2, 3, 4]","[{2, -4, -3, 6}, {2, -4, 6}, {-4, 6}, {-4, 6}]","[set(), {-4}, {-4}, {-4}]",8,
LocalStandardReflectiveEquilibrium,"[[-1, 5], [-3, -5], [6, -5], [2, -5], [4, -3], [4, 2, 3], [-6, -1, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.42342806356045043,11,2.1538461538461537,0.14102564102564102,{1},[],"{1, 2, 3, -4}",4,1,0,2,True,False,"{1, 3, -4}",3,1,0,True,True,5,[set()],0.0,{3},"{1, 3, -4}","[{3}, {5}]","[0, 0.36249999999999993, 0.40833333333333327, 0.9972222222222222, 0.9972222222222222, 0.9972222222222222]",True,1,1,0,0,1,5,[2],"[{1, 2, 3, -4}, {1, 3, -4}, {1, 3, -4}]","[set(), {3}, {3}]",6,
LocalStandardReflectiveEquilibrium,"[[-1, 5], [-3, -5], [6, -5], [2, -5], [4, -3], [4, 2, 3], [-6, -1, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.42342806356045043,11,2.1538461538461537,0.14102564102564102,{1},[],"{2, -4, -3, 6}",4,0,0,1,True,False,"{1, 2, -5, -4}",4,1,0,True,True,4,[set()],0.0,{2},"{1, 2, -5, -4}",[{2}],"[0, 0.2702361111111111, 0.3413472222222222, 0.9723333333333334, 0.985388888888889, 0.985388888888889, 0.988013888888889, 0.988013888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,4,4,0,2,2,2,"[2, 6]","[{2, -4, -3, 6}, {2, -4, -3}, {2, -4}, {1, 2, -4}, {1, 2, -5, -4}, {1, 2, -5, -4}]","[set(), {2}, {2}, {2}, {2}, {2}]",12,
LocalStandardReflectiveEquilibrium,"[[2, 4], [-6, -3, -4], [-5, -1, -6], [-5, -3, 1], [-6, 1, 4], [-5, -4], [2, -1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.30501249975961464,18,2.3076923076923075,0.23076923076923075,set(),[],"{1, 2, 3, -4}",4,0,0,0,False,,"{2, -4}",2,0,0,,False,0,,,{-4},"{-4, -2}","[{-5}, {-6, -3}, {-4}]","[0, 0.29444444444444445, 0.35972222222222217, 0.9583333333333334, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",False,2,2,0,0,2,4,"[2, 3, 4]","[{1, 2, 3, -4}, {1, 2, -4}, {2, -4}, {2, -4}]","[set(), {-4}, {-4}, {-4}]",8,
