model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
LocalStandardReflectiveEquilibrium,"[[3, -6], [7, 6], [1, 6]]",7,3,0.202148214182692,48,2,0,set(),"[(1, 1), (3, 1), (7, 1)]","{2, -6, -3}",3,0,0,4,True,False,{2},1,0,0,True,True,24,[set()],0,{2},{2},[{2}],"[0, 0.3857142857142857, 0.4193877551020408, 0.9908163265306122, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,[2],"[{2, -6, -3}, {2, -6}, {2}, {2}]","[set(), {2}, {2}, {2}]",8,
LocalStandardReflectiveEquilibrium,"[[3, -6], [7, 6], [1, 6]]",7,3,0.202148214182692,48,2,0,set(),"[(1, 1), (3, 1), (7, 1)]","{1, 2, 6, 7, -4}",5,0,0,2,True,False,"{1, 2, -3, 6}",4,0,0,True,True,8,[{2}],1,{1},"{1, -3, 6}",[{1}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9601734693877553, 0.9797653061224489, 0.9797653061224489, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,3,3,0,1,2,4,"[2, 4]","[{1, 2, 6, 7, -4}, {1, 2, -4, 6}, {1, 2, 6}, {1, 2, -3, 6}, {1, 2, -3, 6}]","[set(), {1}, {1}, {1}, {1}]",10,
LocalStandardReflectiveEquilibrium,"[[1, -4], [6, -4], [-2, 6]]",7,3,0.1703778682774852,56,2,0,set(),"[(1, 1), (-2, 1)]","{2, -6, -3}",3,0,0,12,True,True,{-3},1,0,0,True,True,28,[set()],0,{-3},{-3},[{-3}],"[0, 0.3857142857142857, 0.4193877551020408, 0.9908163265306122, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,[2],"[{2, -6, -3}, {-6, -3}, {-3}, {-3}]","[set(), {-3}, {-3}, {-3}]",8,
LocalStandardReflectiveEquilibrium,"[[1, -4], [6, -4], [-2, 6]]",7,3,0.1703778682774852,56,2,0,set(),"[(1, 1), (-2, 1)]","{1, 2, 6, 7, -4}",5,0,0,4,True,True,"{1, 2, -6}",3,0,0,False,True,8,[{1}],1,{-6},"{2, -6}","[{4}, {-6}]","[0, 0.2714285714285714, 0.3336734693877551, 0.9336734693877551, 0.963265306122449, 0.963265306122449, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673]",True,4,3,1,0,2,4,"[2, 3, 4, 6]","[{1, 2, 6, 7, -4}, {1, 2, 6, 7}, {1, 2, -6, 7}, {1, 2, -6}, {1, 2, -6}]","[set(), {-6}, {-6}, {-6}, {-6}]",10,
LocalStandardReflectiveEquilibrium,"[[7, 5], [3, -7], [1, 5]]",7,3,0.14285714285714285,64,2,0,set(),"[(1, 1), (3, 1)]","{2, -6, -3}",3,0,0,10,True,True,{-6},1,0,0,True,True,32,[set()],0,{-6},{-6},[{-6}],"[0, 0.3857142857142857, 0.4193877551020408, 0.9908163265306122, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,"[2, 3]","[{2, -6, -3}, {2, -6}, {-6}, {-6}]","[set(), {-6}, {-6}, {-6}]",8,
LocalStandardReflectiveEquilibrium,"[[7, 5], [3, -7], [1, 5]]",7,3,0.14285714285714285,64,2,0,set(),"[(1, 1), (3, 1)]","{1, 2, 6, 7, -4}",5,0,0,1,True,False,"{1, 2}",2,0,0,False,True,12,[{1}],1,{2},{2},[{2}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9336734693877551, 0.963265306122449, 0.963265306122449, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673]",True,3,3,0,0,3,4,"[2, 3, 4, 6]","[{1, 2, 6, 7, -4}, {1, 2, -4, 6}, {1, 2, 6}, {1, 2}, {1, 2}]","[set(), {2}, {2}, {2}, {2}]",10,
LocalStandardReflectiveEquilibrium,"[[2, 6], [7, -6], [-3, -7]]",7,3,0.1703778682774852,56,2,0,set(),"[(2, 1), (-3, 1)]","{2, -6, -3}",3,0,0,0,False,,"{-6, -2}",2,0,0,True,True,24,[set()],0,{-6},"{-6, -2}","[{7}, {-6}]","[0, 0.3857142857142857, 0.4193877551020408, 0.9908163265306122, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,3,2,1,0,1,5,[2],"[{2, -6, -3}, {2, -6}, {-6, -2}, {-6, -2}]","[set(), {-6}, {-6}, {-6}]",8,
LocalStandardReflectiveEquilibrium,"[[2, 6], [7, -6], [-3, -7]]",7,3,0.1703778682774852,56,2,0,set(),"[(2, 1), (-3, 1)]","{1, 2, 6, 7, -4}",5,0,0,0,False,,"{-7, 2, -4, 6}",4,0,0,True,True,8,[{-4}],1,{2},"{-7, 2, 6}",[{2}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9601734693877553, 0.9797653061224489, 0.9797653061224489, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,3,2,1,0,1,5,"[2, 4]","[{1, 2, 6, 7, -4}, {1, 2, -4, 6}, {2, -4, 6}, {-7, 2, -4, 6}, {-7, 2, -4, 6}]","[set(), {2}, {2}, {2}, {2}]",10,
LocalStandardReflectiveEquilibrium,"[[-3, 7], [2, 7], [4, -3]]",7,3,0.1703778682774852,56,2,0,set(),"[(2, 1), (4, 1)]","{2, -6, -3}",3,0,0,8,True,False,{-6},1,0,0,True,True,28,[set()],0,{-6},{-6},[{-6}],"[0, 0.3857142857142857, 0.4193877551020408, 0.9908163265306122, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,[2],"[{2, -6, -3}, {-6, -3}, {-6}, {-6}]","[set(), {-6}, {-6}, {-6}]",8,
LocalStandardReflectiveEquilibrium,"[[-3, 7], [2, 7], [4, -3]]",7,3,0.1703778682774852,56,2,0,set(),"[(2, 1), (4, 1)]","{1, 2, 6, 7, -4}",5,0,0,4,True,True,"{1, 2, 7}",3,0,0,True,True,12,[{1}],1,{2},"{2, 7}",[{2}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9693877551020409, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,2,2,0,0,2,5,"[2, 4]","[{1, 2, 6, 7, -4}, {1, 2, 6, 7}, {1, 2, 7}, {1, 2, 7}]","[set(), {2}, {2}, {2}]",8,
LocalStandardReflectiveEquilibrium,"[[-6, 1], [5, -6], [4, -5]]",7,3,0.1703778682774852,56,2,0,set(),"[(4, 1)]","{2, -6, -3}",3,0,0,6,True,False,{-3},1,0,0,True,True,28,[set()],0,{-3},{-3},[{-3}],"[0, 0.3857142857142857, 0.4193877551020408, 0.9908163265306122, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,[2],"[{2, -6, -3}, {-6, -3}, {-3}, {-3}]","[set(), {-3}, {-3}, {-3}]",8,
LocalStandardReflectiveEquilibrium,"[[-6, 1], [5, -6], [4, -5]]",7,3,0.1703778682774852,56,2,0,set(),"[(4, 1)]","{1, 2, 6, 7, -4}",5,0,0,2,True,False,"{1, 2, 5, -6, -4}",5,0,0,True,True,4,[{2}],1,{5},"{1, -6, -4, 5}",[{5}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9496734693877551, 0.9735510204081632, 0.9735510204081632, 0.9797653061224489, 0.9797653061224489, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,4,3,1,1,1,4,"[2, 4, 6]","[{1, 2, 6, 7, -4}, {1, 2, -4, 7}, {1, 2, -4}, {1, 2, -4, 5}, {1, 2, 5, -6, -4}, {1, 2, 5, -6, -4}]","[set(), {5}, {5}, {5}, {5}, {5}]",12,
LocalStandardReflectiveEquilibrium,"[[-7, 3], [2, 7], [-1, 2]]",7,3,0.1703778682774852,56,2,0,set(),"[(-1, 1)]","{2, -6, -3}",3,0,0,8,True,False,{-6},1,0,0,True,True,28,[set()],0,{-6},{-6},[{-6}],"[0, 0.3857142857142857, 0.4193877551020408, 0.9908163265306122, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,[2],"[{2, -6, -3}, {-6, -3}, {-6}, {-6}]","[set(), {-6}, {-6}, {-6}]",8,
LocalStandardReflectiveEquilibrium,"[[-7, 3], [2, 7], [-1, 2]]",7,3,0.1703778682774852,56,2,0,set(),"[(-1, 1)]","{1, 2, 6, 7, -4}",5,0,0,4,True,True,"{1, 7}",2,0,0,True,True,32,[{1}],1,{7},{7},"[{2}, {-3}, {7}, {-1}]","[0, 0.2714285714285714, 0.3336734693877551, 0.9336734693877551, 0.963265306122449, 0.963265306122449, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673]",True,3,3,0,0,3,4,"[2, 3, 4, 6]","[{1, 2, 6, 7, -4}, {1, -4, 6, 7}, {1, 6, 7}, {1, 7}, {1, 7}]","[set(), {7}, {7}, {7}, {7}]",10,
LocalStandardReflectiveEquilibrium,"[[2, 6], [-5, 6], [-1, 5]]",7,3,0.14285714285714285,64,2,0,set(),"[(2, 1), (-1, 1)]","{2, -6, -3}",3,0,0,0,False,,{-3},1,0,0,True,True,32,[set()],0,{-3},{-3},[{-3}],"[0, 0.3857142857142857, 0.4193877551020408, 0.9908163265306122, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,[2],"[{2, -6, -3}, {-6, -3}, {-3}, {-3}]","[set(), {-3}, {-3}, {-3}]",8,
LocalStandardReflectiveEquilibrium,"[[2, 6], [-5, 6], [-1, 5]]",7,3,0.14285714285714285,64,2,0,set(),"[(2, 1), (-1, 1)]","{1, 2, 6, 7, -4}",5,0,0,4,True,True,"{2, -4, 6}",3,0,0,True,True,12,[{-4}],1,{2},"{2, 6}",[{2}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9693877551020409, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,2,2,0,0,2,5,"[2, 4]","[{1, 2, 6, 7, -4}, {1, 2, -4, 6}, {2, -4, 6}, {2, -4, 6}]","[set(), {2}, {2}, {2}]",8,
LocalStandardReflectiveEquilibrium,"[[-1, 6], [5, -6], [-2, -6]]",7,3,0.202148214182692,48,2,0,set(),"[(5, 1), (-1, 1), (-2, 1)]","{2, -6, -3}",3,0,0,8,True,False,{2},1,0,0,True,True,32,[set()],0,{2},{2},"[{2}, {6}, {-1}]","[0, 0.3857142857142857, 0.4193877551020408, 0.9908163265306122, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,[2],"[{2, -6, -3}, {2, -6}, {2}, {2}]","[set(), {2}, {2}, {2}]",8,
LocalStandardReflectiveEquilibrium,"[[-1, 6], [5, -6], [-2, -6]]",7,3,0.202148214182692,48,2,0,set(),"[(5, 1), (-1, 1), (-2, 1)]","{1, 2, 6, 7, -4}",5,0,0,2,True,False,"{1, 7}",2,0,0,True,True,20,[{1}],1,{7},{7},[{7}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9336734693877551, 0.963265306122449, 0.963265306122449, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673]",True,3,3,0,0,3,4,"[2, 3, 4, 6]","[{1, 2, 6, 7, -4}, {1, 2, -4, 7}, {1, 2, 7}, {1, 7}, {1, 7}]","[set(), {7}, {7}, {7}, {7}]",10,
