model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
LocalStandardReflectiveEquilibrium,"[[-6, -1], [-5, 10, 1], [3, 8, -10], [-4, -10], [-2, -9, -1], [3, -6, -8], [-6, 10, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.14301443916690512,380,2.2941176470588234,0.22058823529411764,set(),[],"{5, 6, 8, -9, -7, -1}",6,0,0,10,True,True,"{5, 6}",2,0,0,True,True,154,[{5}],1.0,{6},{6},"[{1}, {10}, {8, 3}, {6}]","[0, 0.32399999999999995, 0.36149999999999993, 0.9430000000000001, 0.9645, 0.9645, 0.977, 0.977, 0.9805, 0.9805, 0.9805, 0.9805]",True,4,4,0,0,4,6,"[2, 3, 4, 6, 8]","[{5, 6, 8, -9, -7, -1}, {5, 6, 8, -7, -1}, {-7, 5, -1, 6}, {-7, 5, 6}, {5, 6}, {5, 6}]","[set(), {6}, {6}, {6}, {6}, {6}]",12,
LocalStandardReflectiveEquilibrium,"[[-6, -1], [-5, 10, 1], [3, 8, -10], [-4, -10], [-2, -9, -1], [3, -6, -8], [-6, 10, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.14301443916690512,380,2.2941176470588234,0.22058823529411764,set(),[],"{9, 5, -10}",3,0,0,88,True,True,{9},1,0,0,True,True,212,[set()],0.0,{9},{9},"[{1, -2}, {10, -5, -2}, {9}]","[0, 0.4185, 0.43499999999999994, 0.9955, 0.996, 0.996, 0.996, 0.996]",True,2,2,0,0,2,8,"[2, 3]","[{9, 5, -10}, {9, 5}, {9}, {9}]","[set(), {9}, {9}, {9}]",8,
LocalStandardReflectiveEquilibrium,"[[1, 4], [-8, -1], [-7, -10, 1], [-3, -2, 8], [-5, -6, 4], [-9, -10, 2], [-6, -2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.18655736797790734,281,2.235294117647059,0.1911764705882353,set(),[],"{5, 6, 8, -9, -7, -1}",6,0,0,8,True,False,"{-7, -1}",2,0,0,False,True,74,[{-7}],1.0,{-1},{-1},"[{-8}, {-4}, {-1}]","[0, 0.32399999999999995, 0.36149999999999993, 0.9430000000000001, 0.9645, 0.9645, 0.977, 0.977, 0.9805, 0.9805, 0.9805, 0.9805]",True,4,4,0,0,4,6,"[2, 3, 4, 6, 8]","[{5, 6, 8, -9, -7, -1}, {5, 6, -9, -7, -1}, {-7, 6, -1, -9}, {-7, -1, 6}, {-7, -1}, {-7, -1}]","[set(), {-1}, {-1}, {-1}, {-1}, {-1}]",12,
LocalStandardReflectiveEquilibrium,"[[1, 4], [-8, -1], [-7, -10, 1], [-3, -2, 8], [-5, -6, 4], [-9, -10, 2], [-6, -2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.18655736797790734,281,2.235294117647059,0.1911764705882353,set(),[],"{9, 5, -10}",3,0,0,32,True,True,{9},1,0,0,True,True,159,[set()],0.0,{9},{9},"[{-6, -10}, {-2, -10}, {9}]","[0, 0.4185, 0.43499999999999994, 0.9955, 0.996, 0.996, 0.996, 0.996]",True,2,2,0,0,2,8,"[2, 3]","[{9, 5, -10}, {9, 5}, {9}, {9}]","[set(), {9}, {9}, {9}]",8,
LocalStandardReflectiveEquilibrium,"[[-9, -2, 6], [-4, 9], [3, 2], [8, -1, -4], [-7, 2], [-5, 3], [10, -2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.2733213459305099,154,2.1176470588235294,0.11029411764705882,set(),[],"{5, 6, 8, -9, -7, -1}",6,0,0,0,False,,"{-7, 6}",2,0,0,False,True,30,[{-7}],1.0,{6},{6},"[{-2, -9}, {6}, {10, -9}]","[0, 0.32399999999999995, 0.36149999999999993, 0.9430000000000001, 0.9645, 0.9645, 0.977, 0.977, 0.9805, 0.9805, 0.9805, 0.9805]",True,4,4,0,0,4,6,"[2, 3, 4, 6, 8]","[{5, 6, 8, -9, -7, -1}, {5, 6, 8, -7, -1}, {8, -7, -1, 6}, {-7, -1, 6}, {-7, 6}, {-7, 6}]","[set(), {6}, {6}, {6}, {6}, {6}]",12,
LocalStandardReflectiveEquilibrium,"[[-9, -2, 6], [-4, 9], [3, 2], [8, -1, -4], [-7, 2], [-5, 3], [10, -2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.2733213459305099,154,2.1176470588235294,0.11029411764705882,set(),[],"{9, 5, -10}",3,0,0,70,True,True,{5},1,0,0,True,True,114,[set()],0.0,{5},{5},"[{-3}, {10}, {-2}, {5}]","[0, 0.4185, 0.43499999999999994, 0.9955, 0.996, 0.996, 0.996, 0.996]",True,2,2,0,0,2,8,"[2, 3]","[{9, 5, -10}, {9, 5}, {5}, {5}]","[set(), {5}, {5}, {5}]",8,
LocalStandardReflectiveEquilibrium,"[[4, -6], [1, 4], [2, 1], [-5, -1], [-7, 4], [9, 1], [10, -7], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.35405683813627026,88,2.0,0.0,set(),[],"{5, 6, 8, -9, -7, -1}",6,0,0,0,False,,"{6, 7, 8, -10, -9, -1, -4, -2}",8,0,0,True,True,4,[{8}],1.0,{6},"{6, 7, -10, -9, -1, -4, -2}",[{6}],"[0, 0.32399999999999995, 0.36149999999999993, 0.969565, 0.9833649999999999, 0.9833649999999999, 0.988165, 0.988165, 0.98974, 0.98974, 0.990685, 0.990685, 0.991, 0.991, 0.9925, 0.9925, 0.9925, 0.9925]",True,6,5,1,3,1,5,"[2, 4, 8, 10, 14]","[{5, 6, 8, -9, -7, -1}, {5, 6, -9, -7, -1}, {-7, 6, -1, -9}, {7, 6, -1, -9}, {6, 7, -1, -9, -2}, {6, 7, -10, -9, -1, -2}, {6, 7, -10, -9, -1, -4, -2}, {6, 7, 8, -10, -9, -1, -4, -2}, {6, 7, 8, -10, -9, -1, -4, -2}]","[set(), {6}, {6}, {6}, {6}, {6}, {6}, {6}, {6}]",18,
LocalStandardReflectiveEquilibrium,"[[4, -6], [1, 4], [2, 1], [-5, -1], [-7, 4], [9, 1], [10, -7], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.35405683813627026,88,2.0,0.0,set(),[],"{9, 5, -10}",3,0,0,16,True,False,{-10},1,0,0,True,True,64,[set()],0.0,{-10},{-10},"[{-10}, {6}, {-4}, {7}]","[0, 0.4185, 0.43499999999999994, 0.9955, 0.996, 0.996, 0.996, 0.996]",True,2,2,0,0,2,8,[2],"[{9, 5, -10}, {9, -10}, {-10}, {-10}]","[set(), {-10}, {-10}, {-10}]",8,
LocalStandardReflectiveEquilibrium,"[[-5, -9], [8, -3, 5], [-2, -1, -3], [10, 2], [-6, -2], [4, 9], [7, 8], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.2752072486556415,152,2.1176470588235294,0.11029411764705882,set(),[],"{5, 6, 8, -9, -7, -1}",6,0,0,5,True,False,"{-7, 5, 9}",3,0,0,True,True,56,[{-7}],1.0,{9},"{9, 5}","[{4}, {9}]","[0, 0.32399999999999995, 0.36149999999999993, 0.9430000000000001, 0.9645, 0.9645, 0.977, 0.977, 0.9805, 0.9805, 0.9805, 0.9805]",True,5,4,1,0,3,6,"[2, 3, 4, 6, 8]","[{5, 6, 8, -9, -7, -1}, {5, 6, -9, -7, -1}, {-7, 5, 6, -9}, {-7, 5, -9}, {-7, 5, 9}, {-7, 5, 9}]","[set(), {9}, {9}, {9}, {9}, {9}]",12,
LocalStandardReflectiveEquilibrium,"[[-5, -9], [8, -3, 5], [-2, -1, -3], [10, 2], [-6, -2], [4, 9], [7, 8], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.2752072486556415,152,2.1176470588235294,0.11029411764705882,set(),[],"{9, 5, -10}",3,0,0,60,True,True,{-10},1,0,0,True,True,108,[set()],0.0,{-10},{-10},"[{-10}, {-6}, {-2}]","[0, 0.4185, 0.43499999999999994, 0.9955, 0.996, 0.996, 0.996, 0.996]",True,2,2,0,0,2,8,"[2, 3]","[{9, 5, -10}, {5, -10}, {-10}, {-10}]","[set(), {-10}, {-10}, {-10}]",8,
LocalStandardReflectiveEquilibrium,"[[7, 3, 6], [-9, 5, -3], [-10, 3], [-4, 2, -6], [1, -6], [-8, 6], [-3, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.2607682577221239,168,2.176470588235294,0.15441176470588236,set(),[],"{5, 6, 8, -9, -7, -1}",6,0,0,1,True,False,"{-8, -7, -1, 6}",4,0,0,True,True,22,[{-7}],1.0,{-8},"{-8, -1, 6}",[{-8}],"[0, 0.32399999999999995, 0.36149999999999993, 0.9675, 0.982, 0.982, 0.9875, 0.9875, 0.9875, 0.9875]",True,4,3,1,0,2,7,"[2, 3, 4, 6]","[{5, 6, 8, -9, -7, -1}, {6, 8, -9, -7, -1}, {8, -7, -1, 6}, {-8, -7, -1, 6}, {-8, -7, -1, 6}]","[set(), {-8}, {-8}, {-8}, {-8}]",10,
LocalStandardReflectiveEquilibrium,"[[7, 3, 6], [-9, 5, -3], [-10, 3], [-4, 2, -6], [1, -6], [-8, 6], [-3, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.2607682577221239,168,2.176470588235294,0.15441176470588236,set(),[],"{9, 5, -10}",3,0,0,20,True,False,{5},1,0,0,True,True,64,[set()],0.0,{5},{5},[{5}],"[0, 0.4185, 0.43499999999999994, 0.9955, 0.996, 0.996, 0.996, 0.996]",True,2,2,0,0,2,8,"[2, 3]","[{9, 5, -10}, {9, 5}, {5}, {5}]","[set(), {5}, {5}, {5}]",8,
LocalStandardReflectiveEquilibrium,"[[8, -7], [-10, 7], [-1, 3, -7], [-2, -10], [4, 6, -8], [5, 3], [-9, -5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.2733213459305099,154,2.1176470588235294,0.11029411764705882,set(),[],"{5, 6, 8, -9, -7, -1}",6,0,0,0,False,,"{-1, 6}",2,0,0,True,True,27,[{-1}],1.0,{6},{6},[{6}],"[0, 0.32399999999999995, 0.36149999999999993, 0.9430000000000001, 0.9645, 0.9645, 0.977, 0.977, 0.9805, 0.9805, 0.9805, 0.9805]",True,4,4,0,0,4,6,"[2, 3, 4, 6, 8]","[{5, 6, 8, -9, -7, -1}, {5, 6, 8, -9, -1}, {8, 5, -1, 6}, {8, -1, 6}, {-1, 6}, {-1, 6}]","[set(), {6}, {6}, {6}, {6}, {6}]",12,
LocalStandardReflectiveEquilibrium,"[[8, -7], [-10, 7], [-1, 3, -7], [-2, -10], [4, 6, -8], [5, 3], [-9, -5], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.2733213459305099,154,2.1176470588235294,0.11029411764705882,set(),[],"{9, 5, -10}",3,0,0,8,True,False,"{9, 3, 5}",3,0,0,True,True,26,[set()],0.0,{5},"{9, 3, 5}",[{5}],"[0, 0.4185, 0.43499999999999994, 0.998685, 0.999, 0.999, 0.999, 0.999]",True,2,2,0,1,1,8,[2],"[{9, 5, -10}, {9, 5}, {9, 3, 5}, {9, 3, 5}]","[set(), {5}, {5}, {5}]",8,
LocalStandardReflectiveEquilibrium,"[[-5, -4], [-3, 4], [9, -1, -5], [2, 9], [6, -10, 3], [-8, 4], [9, 1, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.29125371587496607,136,2.176470588235294,0.15441176470588236,set(),[],"{5, 6, 8, -9, -7, -1}",6,0,0,5,True,False,"{4, 5, 8, -9, -2}",5,0,0,True,True,28,[{8}],1.0,{4},"{4, 5, -2, -9}","[{-8}, {-3}, {4}]","[0, 0.32399999999999995, 0.36149999999999993, 0.95364, 0.97234, 0.97234, 0.98204, 0.98204, 0.985085, 0.985085, 0.9875, 0.9875, 0.9875, 0.9875]",True,5,5,0,2,3,5,"[2, 3, 4, 6, 8]","[{5, 6, 8, -9, -7, -1}, {5, 8, -9, -7, -1}, {8, 5, -1, -9}, {8, 5, -9}, {8, 4, 5, -9}, {4, 5, 8, -9, -2}, {4, 5, 8, -9, -2}]","[set(), {4}, {4}, {4}, {4}, {4}, {4}]",14,
LocalStandardReflectiveEquilibrium,"[[-5, -4], [-3, 4], [9, -1, -5], [2, 9], [6, -10, 3], [-8, 4], [9, 1, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.29125371587496607,136,2.176470588235294,0.15441176470588236,set(),[],"{9, 5, -10}",3,0,0,8,True,False,{-10},1,0,0,True,True,64,[set()],0.0,{-10},{-10},[{-10}],"[0, 0.4185, 0.43499999999999994, 0.9955, 0.996, 0.996, 0.996, 0.996]",True,2,2,0,0,2,8,"[2, 3]","[{9, 5, -10}, {5, -10}, {-10}, {-10}]","[set(), {-10}, {-10}, {-10}]",8,
LocalStandardReflectiveEquilibrium,"[[-7, 8, -6], [2, 9, -8], [10, -5, 9], [-3, 1, 2], [4, 1], [9, 8, 3], [-5, -10, 8], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10]]",10,17,0.1651271845768923,326,2.3529411764705883,0.2426470588235294,set(),[],"{5, 6, 8, -9, -7, -1}",6,0,0,0,False,,"{-7, 5}",2,0,0,True,True,106,[{5}],1.0,{-7},{-7},[{-7}],"[0, 0.32399999999999995, 0.36149999999999993, 0.9430000000000001, 0.9645, 0.9645, 0.977, 0.977, 0.9805, 0.9805, 0.9805, 0.9805]",True,4,4,0,0,4,6,"[2, 3, 4, 6, 8]","[{5, 6, 8, -9, -7, -1}, {5, 6, 8, -7, -1}, {8, -7, 5, -1}, {8, -7, 5}, {-7, 5}, {-7, 5}]","[set(), {-7}, {-7}, {-7}, {-7}, {-7}]",12,
